Year,Municipality,Godine,UNIT_MEASURE,Spol,Value
2013,Rogatica,Total,Broj,Žene,5453
2013,Rudo,Total,Broj,Oba spola,7963
2013,Rudo,Total,Broj,Muškarci,4050
2013,Rudo,Total,Broj,Žene,3913
2013,Sanski Most,Total,Broj,Oba spola,41475
2013,Sanski Most,Total,Broj,Muškarci,20826
2013,Sanski Most,Total,Broj,Žene,20649
2013,Sapna,Total,Broj,Oba spola,11178
2013,Sapna,Total,Broj,Muškarci,5739
2013,Sapna,Total,Broj,Žene,5439
2013,Sokolac,Total,Broj,Oba spola,12021
2013,Sokolac,Total,Broj,Muškarci,5919
2013,Sokolac,Total,Broj,Žene,6102
2013,Srbac,Total,Broj,Oba spola,17587
2013,Srbac,Total,Broj,Muškarci,8623
2013,Srbac,Total,Broj,Žene,8964
2013,Srebrenica,Total,Broj,Oba spola,13409
2013,Srebrenica,Total,Broj,Muškarci,6602
2013,Srebrenica,Total,Broj,Žene,6807
2013,Srebrenik,Total,Broj,Oba spola,39678
2013,Srebrenik,Total,Broj,Muškarci,19348
2013,Srebrenik,Total,Broj,Žene,20330
2013,Sarajevo - Stari Grad,Total,Broj,Oba spola,36976
2013,Sarajevo - Stari Grad,Total,Broj,Muškarci,17482
2013,Sarajevo - Stari Grad,Total,Broj,Žene,19494
2013,Stolac,Total,Broj,Oba spola,14502
2013,Stolac,Total,Broj,Muškarci,7326
2013,Stolac,Total,Broj,Žene,7176
2013,Šamac,Total,Broj,Oba spola,17273
2013,Šamac,Total,Broj,Muškarci,8385
2013,Šamac,Total,Broj,Žene,8888
2013,Šekovići,Total,Broj,Oba spola,6761
2013,Šekovići,Total,Broj,Muškarci,3360
2013,Šekovići,Total,Broj,Žene,3401
2013,Šipovo,Total,Broj,Oba spola,10293
2013,Šipovo,Total,Broj,Muškarci,5221
2013,Šipovo,Total,Broj,Žene,5072
2013,Široki Brijeg,Total,Broj,Oba spola,28929
2013,Široki Brijeg,Total,Broj,Muškarci,14381
2013,Široki Brijeg,Total,Broj,Žene,14548
2013,Teočak,Total,Broj,Oba spola,7424
2013,Teočak,Total,Broj,Muškarci,3767
2013,Teočak,Total,Broj,Žene,3657
2013,Teslić,Total,Broj,Oba spola,38536
2013,Teslić,Total,Broj,Muškarci,18679
2013,Teslić,Total,Broj,Žene,19857
2013,Tešanj,Total,Broj,Oba spola,43063
2013,Tešanj,Total,Broj,Muškarci,21376
2013,Tešanj,Total,Broj,Žene,21687
2013,Tomislavgrad,Total,Broj,Oba spola,31592
2013,Tomislavgrad,Total,Broj,Muškarci,16055
2013,Tomislavgrad,Total,Broj,Žene,15537
2013,Travnik,Total,Broj,Oba spola,53482
2013,Travnik,Total,Broj,Muškarci,26574
2013,Travnik,Total,Broj,Žene,26908
2013,Trebinje,Total,Broj,Oba spola,29198
2013,Trebinje,Total,Broj,Muškarci,14251
2013,Trebinje,Total,Broj,Žene,14947
2013,Trnovo - FBiH,Total,Broj,Oba spola,1502
2013,Trnovo - FBiH,Total,Broj,Muškarci,735
2013,Trnovo - FBiH,Total,Broj,Žene,767
2013,Trnovo - RS,Total,Broj,Oba spola,2050
2013,Trnovo - RS,Total,Broj,Muškarci,989
2013,Trnovo - RS,Total,Broj,Žene,1061
2013,Tuzla,Total,Broj,Oba spola,110979
2013,Tuzla,Total,Broj,Muškarci,52745
2013,Tuzla,Total,Broj,Žene,58234
2013,Ugljevik,Total,Broj,Oba spola,15710
2013,Ugljevik,Total,Broj,Muškarci,7937
2013,Ugljevik,Total,Broj,Žene,7773
2013,Usora,Total,Broj,Oba spola,6603
2013,Usora,Total,Broj,Muškarci,3266
2013,Usora,Total,Broj,Žene,3337
2013,Vareš,Total,Broj,Oba spola,8892
2013,Vareš,Total,Broj,Muškarci,4373
2013,Vareš,Total,Broj,Žene,4519
2013,Velika Kladuša,Total,Broj,Oba spola,40419
2013,Velika Kladuša,Total,Broj,Muškarci,19889
2013,Velika Kladuša,Total,Broj,Žene,20530
2013,Visoko,Total,Broj,Oba spola,39938
2013,Visoko,Total,Broj,Muškarci,19705
2013,Visoko,Total,Broj,Žene,20233
2013,Višegrad,Total,Broj,Oba spola,10668
2013,Višegrad,Total,Broj,Muškarci,5106
2013,Višegrad,Total,Broj,Žene,5562
2013,Vitez,Total,Broj,Oba spola,25836
2013,Vitez,Total,Broj,Muškarci,12767
2013,Vitez,Total,Broj,Žene,13069
2013,Vlasenica,Total,Broj,Oba spola,11467
2013,Vlasenica,Total,Broj,Muškarci,5638
2013,Vlasenica,Total,Broj,Žene,5829
2013,Sarajevo - Vogošća,Total,Broj,Oba spola,26343
2013,Sarajevo - Vogošća,Total,Broj,Muškarci,12606
2013,Sarajevo - Vogošća,Total,Broj,Žene,13737
2013,Vukosavlje,Total,Broj,Oba spola,4667
2013,Vukosavlje,Total,Broj,Muškarci,2340
2013,Vukosavlje,Total,Broj,Žene,2327
2013,Zavidovići,Total,Broj,Oba spola,35988
2013,Zavidovići,Total,Broj,Muškarci,17883
2013,Zavidovići,Total,Broj,Žene,18105
2013,Zenica,Total,Broj,Oba spola,110663
2013,Zenica,Total,Broj,Muškarci,54660
2013,Zenica,Total,Broj,Žene,56003
2013,Zvornik,Total,Broj,Oba spola,58856
2013,Zvornik,Total,Broj,Muškarci,29270
2013,Zvornik,Total,Broj,Žene,29586
2013,Žepče,Total,Broj,Oba spola,30219
2013,Žepče,Total,Broj,Muškarci,15335
2013,Žepče,Total,Broj,Žene,14884
2013,Živinice,Total,Broj,Oba spola,57765
2013,Živinice,Total,Broj,Muškarci,28714
2013,Živinice,Total,Broj,Žene,29051
2013,Banja Luka,0-4,Broj,Oba spola,9610
2013,Banja Luka,0-4,Broj,Muškarci,4898
2013,Banja Luka,0-4,Broj,Žene,4712
2013,Banovići,0-4,Broj,Oba spola,1206
2013,Banovići,0-4,Broj,Muškarci,614
2013,Banovići,0-4,Broj,Žene,592
2013,Berkovići,0-4,Broj,Oba spola,93
2013,Berkovići,0-4,Broj,Muškarci,45
2013,Berkovići,0-4,Broj,Žene,48
2013,Bihać,0-4,Broj,Oba spola,2652
2013,Bihać,0-4,Broj,Muškarci,1361
2013,Bihać,0-4,Broj,Žene,1291
2013,Bijeljina,0-4,Broj,Oba spola,5080
2013,Bijeljina,0-4,Broj,Muškarci,2637
2013,Bijeljina,0-4,Broj,Žene,2443
2013,Bileća,0-4,Broj,Oba spola,487
2013,Bileća,0-4,Broj,Muškarci,255
2013,Bileća,0-4,Broj,Žene,232
2013,Bosanska Krupa,0-4,Broj,Oba spola,1423
2013,Bosanska Krupa,0-4,Broj,Muškarci,735
2013,Bosanska Krupa,0-4,Broj,Žene,688
