Year,UNIT_MEASURE,Sex,Age,Value
1991,Number,Both sexes,Total,4140639
2013,Number,Both sexes,0,32986
2013,Number,Both sexes,1,34294
2013,Number,Both sexes,2,34389
2013,Number,Both sexes,3,35874
2013,Number,Both sexes,4,36521
2013,Number,Both sexes,5,36166
2013,Number,Both sexes,6,34919
2013,Number,Both sexes,7,34943
2013,Number,Both sexes,8,35451
2013,Number,Both sexes,9,35501
2013,Number,Both sexes,10,36453
2013,Number,Both sexes,11,36775
2013,Number,Both sexes,12,38596
2013,Number,Both sexes,13,39456
2013,Number,Both sexes,14,41395
2013,Number,Both sexes,15,45564
2013,Number,Both sexes,16,52015
2013,Number,Both sexes,17,51403
2013,Number,Both sexes,18,50311
2013,Number,Both sexes,19,43449
2013,Number,Both sexes,20,38825
2013,Number,Both sexes,21,44354
2013,Number,Both sexes,22,48403
2013,Number,Both sexes,23,48196
2013,Number,Both sexes,24,48278
2013,Number,Both sexes,25,50133
2013,Number,Both sexes,26,49678
2013,Number,Both sexes,27,49795
2013,Number,Both sexes,28,50446
2013,Number,Both sexes,29,52266
2013,Number,Both sexes,30,50734
2013,Number,Both sexes,31,50911
2013,Number,Both sexes,32,50977
2013,Number,Both sexes,33,50333
2013,Number,Both sexes,34,49678
2013,Number,Both sexes,35,49788
2013,Number,Both sexes,36,49919
2013,Number,Both sexes,37,51327
2013,Number,Both sexes,38,49496
2013,Number,Both sexes,39,48736
2013,Number,Both sexes,40,48218
2013,Number,Both sexes,41,49740
2013,Number,Both sexes,42,48136
2013,Number,Both sexes,43,46015
2013,Number,Both sexes,44,49029
2013,Number,Both sexes,45,49671
2013,Number,Both sexes,46,51673
2013,Number,Both sexes,47,52770
2013,Number,Both sexes,48,53700
2013,Number,Both sexes,49,53114
2013,Number,Both sexes,50,53786
2013,Number,Both sexes,51,56129
2013,Number,Both sexes,52,55588
2013,Number,Both sexes,53,55076
2013,Number,Both sexes,54,55996
2013,Number,Both sexes,55,52589
2013,Number,Both sexes,56,50347
2013,Number,Both sexes,57,51932
2013,Number,Both sexes,58,52746
2013,Number,Both sexes,59,50923
2013,Number,Both sexes,60,50837
2013,Number,Both sexes,61,46677
2013,Number,Both sexes,62,42331
2013,Number,Both sexes,63,42570
2013,Number,Both sexes,64,40836
2013,Number,Both sexes,65,35793
2013,Number,Both sexes,66,37788
2013,Number,Both sexes,67,29180
2013,Number,Both sexes,68,25744
2013,Number,Both sexes,69,25064
2013,Number,Both sexes,70,25058
2013,Number,Both sexes,71,26990
2013,Number,Both sexes,72,29327
2013,Number,Both sexes,73,30776
2013,Number,Both sexes,74,28304
2013,Number,Both sexes,75,27309
2013,Number,Both sexes,76,25413
2013,Number,Both sexes,77,23950
2013,Number,Both sexes,78,21232
2013,Number,Both sexes,79,19363
2013,Number,Both sexes,80,16231
2013,Number,Both sexes,81,14741
2013,Number,Both sexes,82,12059
2013,Number,Both sexes,83,10999
2013,Number,Both sexes,84,8606
2013,Number,Both sexes,85,7600
2013,Number,Both sexes,86,5358
2013,Number,Both sexes,87,4159
2013,Number,Both sexes,88,3055
2013,Number,Both sexes,89,2350
2013,Number,Both sexes,90,1745
2013,Number,Both sexes,91,1230
2013,Number,Both sexes,92,825
2013,Number,Both sexes,93,724
2013,Number,Both sexes,94,338
2013,Number,Both sexes,95,149
2013,Number,Both sexes,96,119
2013,Number,Both sexes,97,66
2013,Number,Both sexes,98,92
2013,Number,Both sexes,99,58
2013,Number,Both sexes,100,38
2013,Number,Both sexes,101,24
2013,Number,Both sexes,102,28
2013,Number,Both sexes,103,12
2013,Number,Both sexes,104,6
2013,Number,Both sexes,105,9
2013,Number,Both sexes,106,9
2013,Number,Both sexes,107,8
2013,Number,Both sexes,108,4
2013,Number,Both sexes,109,4
2013,Number,Both sexes,110,5
2013,Number,Both sexes,111,3
2013,Number,Both sexes,112,20
2013,Number,Both sexes,113,31
2013,Number,Both sexes,114,0
2013,Number,Both sexes,115,0
2013,Number,Both sexes,116,0
2013,Number,Both sexes,117,0
2013,Number,Both sexes,118,0
2013,Number,Both sexes,119,0
2013,Number,Both sexes,120,0
2013,Number,Both sexes,Unknown,0
2013,Number,Both sexes,Total,3531159
1971,Number,Male,0,39855
1971,Number,Male,1,40140
1971,Number,Male,2,40345
1971,Number,Male,3,42514
1971,Number,Male,4,44275
1971,Number,Male,5,44853
1971,Number,Male,6,44602
1971,Number,Male,7,45387
1971,Number,Male,8,45063
1971,Number,Male,9,45821
1971,Number,Male,10,46696
1971,Number,Male,11,44938
1971,Number,Male,12,46389
1971,Number,Male,13,43294
1971,Number,Male,14,43749
1971,Number,Male,15,43702
1971,Number,Male,16,46056
1971,Number,Male,17,41463
1971,Number,Male,18,43651
1971,Number,Male,19,34343
1971,Number,Male,20,37872
1971,Number,Male,21,35178
1971,Number,Male,22,31105
1971,Number,Male,23,28805
1971,Number,Male,24,29113
1971,Number,Male,25,21479
1971,Number,Male,26,20768
1971,Number,Male,27,20683
1971,Number,Male,28,21739
1971,Number,Male,29,25055
1971,Number,Male,30,27209
1971,Number,Male,31,28265
1971,Number,Male,32,27411
1971,Number,Male,33,29128
1971,Number,Male,34,28939
1971,Number,Male,35,29324
1971,Number,Male,36,28795
1971,Number,Male,37,28014
1971,Number,Male,38,26985
1971,Number,Male,39,25917
1971,Number,Male,40,26833
1971,Number,Male,41,25872
1971,Number,Male,42,25694
1971,Number,Male,43,21742
1971,Number,Male,44,18640
1971,Number,Male,45,16598
1971,Number,Male,46,14941
1971,Number,Male,47,13862
1971,Number,Male,48,12951
1971,Number,Male,49,11665
1971,Number,Male,50,12359
1971,Number,Male,51,11862
1971,Number,Male,52,6178
1971,Number,Male,53,5402
1971,Number,Male,54,5268
1971,Number,Male,55,6888
1971,Number,Male,56,10612
1971,Number,Male,57,10436
1971,Number,Male,58,11002
1971,Number,Male,59,9890
1971,Number,Male,60,11575
1971,Number,Male,61,11193
1971,Number,Male,62,9774
1971,Number,Male,63,10562
1971,Number,Male,64,9983
1971,Number,Male,65,9043
1971,Number,Male,66,8630
1971,Number,Male,67,7437
1971,Number,Male,68,6961
1971,Number,Male,69,5519
1971,Number,Male,70,8199
1971,Number,Male,71,5243
1971,Number,Male,72,3603
1971,Number,Male,73,3350
1971,Number,Male,74,2741
1971,Number,Male,75,2471
1971,Number,Male,76,2143
1971,Number,Male,77,1806
1971,Number,Male,78,1858
1971,Number,Male,79,1224
1971,Number,Male,80,1214
1971,Number,Male,81,892
1971,Number,Male,82,1006
1971,Number,Male,83,682
1971,Number,Male,84,506
1971,Number,Male,85,504
1971,Number,Male,86,404
1971,Number,Male,87,278
1971,Number,Male,88,253
1971,Number,Male,89,197
1971,Number,Male,90,211
1971,Number,Male,91,129
1971,Number,Male,92,77
1971,Number,Male,93,74
1971,Number,Male,94,64
1971,Number,Male,95,43
1971,Number,Male,96,34
1971,Number,Male,97,37
1971,Number,Male,98,33
1971,Number,Male,99,11
1971,Number,Male,100,15
1971,Number,Male,101,0
1971,Number,Male,102,0
1971,Number,Male,103,0
1971,Number,Male,104,0
1971,Number,Male,105,0
1971,Number,Male,106,0
1971,Number,Male,107,0
1971,Number,Male,108,0
1971,Number,Male,109,0
1971,Number,Male,110,0
1971,Number,Male,111,0
