Year,UNIT_MEASURE,Godine,Spol,Municipality,Value
2013,Broj,5-9,Oba spola,Foča - RS,755
2013,Broj,5-9,Oba spola,Fojnica,635
2013,Broj,5-9,Oba spola,Gacko,443
2013,Broj,5-9,Oba spola,Glamoč,181
2013,Broj,5-9,Oba spola,Goražde,845
2013,Broj,5-9,Oba spola,Gornji Vakuf-Uskoplje,1231
2013,Broj,5-9,Oba spola,Gračanica,2518
2013,Broj,5-9,Oba spola,Gradačac,2243
2013,Broj,5-9,Oba spola,Gradiška,2295
2013,Broj,5-9,Oba spola,Grude,952
2013,Broj,5-9,Oba spola,Sarajevo - Hadžići,1339
2013,Broj,5-9,Oba spola,Han Pijesak,130
2013,Broj,5-9,Oba spola,Sarajevo - Ilidža,3664
2013,Broj,5-9,Oba spola,Sarajevo - Ilijaš,1128
2013,Broj,5-9,Oba spola,Istočna Ilidža,683
2013,Broj,5-9,Oba spola,Istočni Drvar,1
2013,Broj,5-9,Oba spola,Istočni Mostar,16
2013,Broj,Total,Žene,Banja Luka,95894
2013,Broj,Total,Žene,Banovići,11381
2013,Broj,Total,Žene,Berkovići,1055
2013,Broj,Total,Žene,Bihać,29220
2013,Broj,Total,Žene,Bijeljina,54888
2013,Broj,Total,Žene,Bileća,5353
2013,Broj,Total,Žene,Bosanska Krupa,12997
2013,Broj,Total,Žene,Bosanski Petrovac,3650
2013,Broj,Total,Žene,Bosansko Grahovo,1162
2013,Broj,Total,Žene,Bratunac,10249
2013,Broj,Total,Žene,Brčko,42266
2013,Broj,Total,Žene,Breza,7216
2013,Broj,Total,Žene,Brod,8476
2013,Broj,Total,Žene,Bugojno,15835
2013,Broj,Total,Žene,Busovača,8776
2013,Broj,Total,Žene,Bužim,9455
2013,Broj,Total,Žene,Cazin,33077
2013,Broj,Total,Žene,Sarajevo - Centar,29812
2013,Broj,Total,Žene,Čajniče,2421
2013,Broj,Total,Žene,Čapljina,13210
2013,Broj,Total,Žene,Čelić,5246
2013,Broj,Total,Žene,Čelinac,7820
2013,Broj,Total,Žene,Čitluk,9203
2013,Broj,Total,Žene,Derventa,14007
2013,Broj,Total,Žene,Doboj,36525
2013,Broj,Total,Žene,Doboj-Istok,5187
2013,Broj,Total,Žene,Doboj-Jug,2072
2013,Broj,Total,Žene,Dobretići,724
2013,Broj,Total,Žene,Domaljevac-Šamac,2398
2013,Broj,Total,Žene,Donji Vakuf,7063
2013,Broj,Total,Žene,Donji Žabar,1889
2013,Broj,Total,Žene,Drvar,3563
2013,Broj,Total,Žene,Foča - FBIH,935
2013,Broj,Total,Žene,Foča - RS,9052
2013,Broj,Total,Žene,Fojnica,6159
2013,Broj,Total,Žene,Gacko,4434
2013,Broj,Total,Žene,Glamoč,1897
2013,Broj,Total,Žene,Goražde,10734
2013,Broj,Total,Žene,Gornji Vakuf-Uskoplje,10401
2013,Broj,Total,Žene,Gračanica,23579
2013,Broj,Total,Žene,Gradačac,20106
2013,Broj,Total,Žene,Gradiška,26456
2013,Broj,Total,Žene,Grude,8687
2013,Broj,Total,Žene,Sarajevo - Hadžići,11977
2013,Broj,Total,Žene,Han Pijesak,1863
2013,Broj,Total,Žene,Sarajevo - Ilidža,34371
2013,Broj,Total,Žene,Sarajevo - Ilijaš,10222
2013,Broj,Total,Žene,Istočna Ilidža,7694
2013,Broj,Total,Žene,Istočni Drvar,26
2013,Broj,Total,Žene,Istočni Mostar,115
2013,Broj,Total,Žene,Istočni Stari Grad,571
2013,Broj,Total,Žene,Istočno Novo Sarajevo,5584
2013,Broj,Total,Žene,Jablanica,5084
2013,Broj,Total,Žene,Jajce,13402
2013,Broj,Total,Žene,Jezero,543
2013,Broj,Total,Žene,Kakanj,18790
2013,Broj,Total,Žene,Kalesija,16456
2013,Broj,Total,Žene,Kalinovik,1042
