Year,UNIT_MEASURE,Пол,Старосна доб,Value
2035,% од укупно,Оба пола,18,0.95
2035,% од укупно,Оба пола,19,0.94
2035,% од укупно,Оба пола,20,0.91
2035,% од укупно,Оба пола,21,0.91
2035,% од укупно,Оба пола,22,0.89
2035,% од укупно,Оба пола,23,0.98
2035,% од укупно,Оба пола,24,0.94
2035,% од укупно,Оба пола,25,0.95
2035,% од укупно,Оба пола,26,0.96
2035,% од укупно,Оба пола,27,0.94
2035,% од укупно,Оба пола,28,0.89
2035,% од укупно,Оба пола,29,0.87
2035,% од укупно,Оба пола,30,0.88
2035,% од укупно,Оба пола,31,0.86
2035,% од укупно,Оба пола,32,0.88
2035,% од укупно,Оба пола,33,0.88
2035,% од укупно,Оба пола,34,0.91
2035,% од укупно,Оба пола,35,0.94
2035,% од укупно,Оба пола,36,0.96
2035,% од укупно,Оба пола,37,1.07
2035,% од укупно,Оба пола,38,1.19
2035,% од укупно,Оба пола,39,1.27
2035,% од укупно,Оба пола,40,1.3
2035,% од укупно,Оба пола,41,1.14
2035,% од укупно,Оба пола,42,0.99
2035,% од укупно,Оба пола,43,1.17
2035,% од укупно,Оба пола,44,1.32
2035,% од укупно,Оба пола,45,1.31
2035,% од укупно,Оба пола,46,1.32
2035,% од укупно,Оба пола,47,1.4
2035,% од укупно,Оба пола,48,1.41
2035,% од укупно,Оба пола,49,1.41
2035,% од укупно,Оба пола,50,1.45
2035,% од укупно,Оба пола,51,1.49
2035,% од укупно,Оба пола,52,1.49
2035,% од укупно,Оба пола,53,1.51
2035,% од укупно,Оба пола,54,1.51
2035,% од укупно,Оба пола,55,1.51
2035,% од укупно,Оба пола,56,1.5
2035,% од укупно,Оба пола,57,1.51
2035,% од укупно,Оба пола,58,1.51
2035,% од укупно,Оба пола,59,1.58
2035,% од укупно,Оба пола,60,1.53
2035,% од укупно,Оба пола,61,1.51
2035,% од укупно,Оба пола,62,1.5
2035,% од укупно,Оба пола,63,1.53
2035,% од укупно,Оба пола,64,1.52
2035,% од укупно,Оба пола,65,1.41
2035,% од укупно,Оба пола,66,1.51
2035,% од укупно,Оба пола,67,1.5
2035,% од укупно,Оба пола,68,1.52
2035,% од укупно,Оба пола,69,1.56
2035,% од укупно,Оба пола,70,1.58
2035,% од укупно,Оба пола,71,1.51
2035,% од укупно,Оба пола,72,1.5
2035,% од укупно,Оба пола,73,1.51
2035,% од укупно,Оба пола,74,1.47
2035,% од укупно,Оба пола,75,1.42
2035,% од укупно,Оба пола,76,1.33
2035,% од укупно,Оба пола,77,1.3
2035,% од укупно,Оба пола,78,1.13
2035,% од укупно,Оба пола,79,1.13
2035,% од укупно,Оба пола,80,1.04
2035,% од укупно,Оба пола,81,1.01
2035,% од укупно,Оба пола,82,0.88
2035,% од укупно,Оба пола,83,0.83
2035,% од укупно,Оба пола,84,0.62
2035,% од укупно,Оба пола,85,0.61
2035,% од укупно,Оба пола,86,0.54
2035,% од укупно,Оба пола,87,0.42
2035,% од укупно,Оба пола,88,0.37
2035,% од укупно,Оба пола,89,0.29
2035,% од укупно,Оба пола,90,0.2
2035,% од укупно,Оба пола,91,0.16
2035,% од укупно,Оба пола,92,0.14
2035,% од укупно,Оба пола,93,0.12
2035,% од укупно,Оба пола,94,0.1
2035,% од укупно,Оба пола,95,0.09
2035,% од укупно,Оба пола,96,0.06
2035,% од укупно,Оба пола,97,0.05
2035,% од укупно,Оба пола,98,0.03
2035,% од укупно,Оба пола,99,0.02
2035,% од укупно,Оба пола,100,0.01
2035,% од укупно,Оба пола,101,0.01
2035,% од укупно,Оба пола,102,0.01
2035,% од укупно,Оба пола,103,0.0
2035,% од укупно,Оба пола,104,0.0
2035,% од укупно,Оба пола,105,0.0
2035,% од укупно,Оба пола,106,0.0
2035,% од укупно,Оба пола,107,0.0
2035,% од укупно,Оба пола,108,0.0
2035,% од укупно,Оба пола,109,0.0
2035,% од укупно,Оба пола,110,0.0
2035,% од укупно,Оба пола,111,0.0
2035,% од укупно,Оба пола,112,0.0
2035,% од укупно,Оба пола,113,0.0
2035,% од укупно,Оба пола,114,0.0
2035,% од укупно,Оба пола,115,0.0
2035,% од укупно,Оба пола,116,0.0
2035,% од укупно,Оба пола,117,0.0
2035,% од укупно,Оба пола,118,0.0
2035,% од укупно,Оба пола,119,0.0
2035,% од укупно,Оба пола,120+,0.0
2040,% од укупно,Оба пола,Total,100.0
2040,% од укупно,Оба пола,0,0.66
2040,% од укупно,Оба пола,1,0.66
2040,% од укупно,Оба пола,2,0.67
2040,% од укупно,Оба пола,3,0.68
2040,% од укупно,Оба пола,4,0.69
2040,% од укупно,Оба пола,5,0.7
2040,% од укупно,Оба пола,6,0.72
2040,% од укупно,Оба пола,7,0.73
2040,% од укупно,Оба пола,8,0.75
2040,% од укупно,Оба пола,9,0.77
2040,% од укупно,Оба пола,10,0.79
2040,% од укупно,Оба пола,11,0.81
2040,% од укупно,Оба пола,12,0.83
2040,% од укупно,Оба пола,13,0.85
2040,% од укупно,Оба пола,14,0.87
2040,% од укупно,Оба пола,15,0.89
2040,% од укупно,Оба пола,16,0.9
2040,% од укупно,Оба пола,17,0.92
2040,% од укупно,Оба пола,18,0.93
2040,% од укупно,Оба пола,19,0.93
2040,% од укупно,Оба пола,20,0.93
2040,% од укупно,Оба пола,21,0.92
2040,% од укупно,Оба пола,22,0.88
2040,% од укупно,Оба пола,23,0.89
2040,% од укупно,Оба пола,24,0.87
