Year,UNIT_MEASURE,Године,Пол,Municipality,Value
2013,Број,Total,Жене,Brčko,42266
2013,Број,Total,Жене,Breza,7216
2013,Број,Total,Жене,Brod,8476
2013,Број,Total,Жене,Bugojno,15835
2013,Број,Total,Жене,Busovača,8776
2013,Број,Total,Жене,Bužim,9455
2013,Број,Total,Жене,Cazin,33077
2013,Број,Total,Жене,Sarajevo - Centar,29812
2013,Број,Total,Жене,Čajniče,2421
2013,Број,Total,Жене,Čapljina,13210
2013,Број,Total,Жене,Čelić,5246
2013,Број,Total,Жене,Čelinac,7820
2013,Број,Total,Жене,Čitluk,9203
2013,Број,Total,Жене,Derventa,14007
2013,Број,Total,Жене,Doboj,36525
2013,Број,Total,Жене,Doboj-Istok,5187
2013,Број,Total,Жене,Doboj-Jug,2072
2013,Број,Total,Жене,Dobretići,724
2013,Број,Total,Жене,Domaljevac-Šamac,2398
2013,Број,Total,Жене,Donji Vakuf,7063
2013,Број,Total,Жене,Donji Žabar,1889
2013,Број,Total,Жене,Drvar,3563
2013,Број,Total,Жене,Foča - FBIH,935
2013,Број,Total,Жене,Foča - RS,9052
2013,Број,Total,Жене,Fojnica,6159
2013,Број,Total,Жене,Gacko,4434
2013,Број,Total,Жене,Glamoč,1897
2013,Број,Total,Жене,Goražde,10734
2013,Број,Total,Жене,Gornji Vakuf-Uskoplje,10401
2013,Број,Total,Жене,Gračanica,23579
2013,Број,Total,Жене,Gradačac,20106
2013,Број,Total,Жене,Gradiška,26456
2013,Број,Total,Жене,Grude,8687
2013,Број,Total,Жене,Sarajevo - Hadžići,11977
2013,Број,Total,Жене,Han Pijesak,1863
2013,Број,Total,Жене,Sarajevo - Ilidža,34371
2013,Број,Total,Жене,Sarajevo - Ilijaš,10222
2013,Број,Total,Жене,Istočna Ilidža,7694
2013,Број,Total,Жене,Istočni Drvar,26
2013,Број,Total,Жене,Istočni Mostar,115
2013,Број,Total,Жене,Istočni Stari Grad,571
2013,Број,Total,Жене,Istočno Novo Sarajevo,5584
2013,Број,Total,Жене,Jablanica,5084
2013,Број,Total,Жене,Jajce,13402
2013,Број,Total,Жене,Jezero,543
2013,Број,Total,Жене,Kakanj,18790
2013,Број,Total,Жене,Kalesija,16456
2013,Број,Total,Жене,Kalinovik,1042
2013,Број,Total,Жене,Kiseljak,10437
2013,Број,Total,Жене,Kladanj,6240
2013,Број,Total,Жене,Ključ,8379
2013,Број,Total,Жене,Kneževo,4901
2013,Број,Total,Жене,Konjic,12788
2013,Број,Total,Жене,Kostajnica,3010
2013,Број,Total,Жене,Kotor Varoš,9892
2013,Број,Total,Жене,Kozarska Dubica,11008
2013,Број,Total,Жене,Kreševo,2676
2013,Број,Total,Жене,Krupa Na Uni,735
2013,Број,Total,Жене,Kupres - FBIH,2516
2013,Број,Total,Жене,Kupres - RS,140
2013,Број,Total,Жене,Laktaši,17646
2013,Број,Total,Жене,Livno,17109
2013,Број,Total,Жене,Lopare,7608
2013,Број,Total,Жене,Lukavac,22734
2013,Број,Total,Жене,Ljubinje,1786
2013,Број,Total,Жене,Ljubuški,14162
2013,Број,Total,Жене,Maglaj,11716
2013,Број,Total,Жене,Milići,5643
2013,Број,Total,Жене,Modriča,13159
2013,Број,Total,Жене,Mostar,54587
2013,Број,Total,Жене,Mrkonjić Grad,8575
2013,Број,Total,Жене,Neum,2309
2013,Број,Total,Жене,Nevesinje,6499
2013,Број,Total,Жене,Novi Grad,13521
2013,Број,Total,Жене,Sarajevo - Novi Grad,62818
2013,Број,Total,Жене,Novi Travnik,11970
2013,Број,Total,Жене,Novo Goražde,1499
2013,Број,Total,Жене,Sarajevo - Novo Sarajevo,35234
2013,Број,Total,Жене,Odžak,9448
2013,Број,Total,Жене,Olovo,5091
2013,Број,Total,Жене,Orašje,9802
2013,Број,Total,Жене,Osmaci,2951
2013,Број,Total,Жене,Oštra Luka,1346
2013,Број,Total,Жене,Pale - FBIH,448
2013,Број,Total,Жене,Pale - RS,10871
2013,Број,Total,Жене,Pelagićevo,2611
2013,Број,Total,Жене,Petrovac,189
2013,Број,Total,Жене,Petrovo,3350
2013,Број,Total,Жене,Posušje,10190
2013,Број,Total,Жене,Prijedor,45534
2013,Број,Total,Жене,Prnjavor,18384
2013,Број,Total,Жене,Prozor,7070
2013,Број,Total,Жене,Ravno,1562
2013,Број,Total,Жене,Ribnik,3039
2013,Број,Total,Жене,Rogatica,5453
2013,Број,Total,Жене,Rudo,3913
2013,Број,Total,Жене,Sanski Most,20649
2013,Број,Total,Жене,Sapna,5439
2013,Број,Total,Жене,Sokolac,6102
2013,Број,Total,Жене,Srbac,8964
2013,Број,Total,Жене,Srebrenica,6807
2013,Број,Total,Жене,Srebrenik,20330
2013,Број,Total,Жене,Sarajevo - Stari Grad,19494
2013,Број,Total,Жене,Stolac,7176
2013,Број,Total,Жене,Šamac,8888
2013,Број,Total,Жене,Šekovići,3401
2013,Број,Total,Жене,Šipovo,5072
2013,Број,Total,Жене,Široki Brijeg,14548
2013,Број,Total,Жене,Teočak,3657
2013,Број,Total,Жене,Teslić,19857
2013,Број,Total,Жене,Tešanj,21687
2013,Број,Total,Жене,Tomislavgrad,15537
2013,Број,Total,Жене,Travnik,26908
2013,Број,Total,Жене,Trebinje,14947
2013,Број,Total,Жене,Trnovo - FBIH,767
2013,Број,Total,Жене,Trnovo - RS,1061
2013,Број,Total,Жене,Tuzla,58234
2013,Број,Total,Жене,Ugljevik,7773
2013,Број,Total,Жене,Usora,3337
2013,Број,Total,Жене,Vareš,4519
