Year,UNIT_MEASURE,SPOL,AGE,Entitet,Value
2013,Broj,Oba spola,12,Republika Srpska,12663
2013,Broj,Oba spola,13,Republika Srpska,12738
2013,Broj,Oba spola,14,Republika Srpska,13114
2013,Broj,Oba spola,15,Republika Srpska,14028
2013,Broj,Oba spola,16,Republika Srpska,15755
2013,Broj,Oba spola,17,Republika Srpska,15004
2013,Broj,Oba spola,18,Republika Srpska,15395
2013,Broj,Oba spola,19,Republika Srpska,15356
2013,Broj,Oba spola,20,Republika Srpska,12674
2013,Broj,Oba spola,21,Republika Srpska,13765
2013,Broj,Oba spola,22,Republika Srpska,15228
2013,Broj,Oba spola,23,Republika Srpska,15159
2013,Broj,Oba spola,24,Republika Srpska,15392
2013,Broj,Oba spola,25,Republika Srpska,16111
2013,Broj,Oba spola,26,Republika Srpska,16026
2013,Broj,Oba spola,27,Republika Srpska,16257
2013,Broj,Oba spola,28,Republika Srpska,16601
2013,Broj,Oba spola,29,Republika Srpska,17391
2013,Broj,Oba spola,30,Republika Srpska,17114
2013,Broj,Oba spola,31,Republika Srpska,17339
2013,Broj,Oba spola,32,Republika Srpska,17074
2013,Broj,Oba spola,33,Republika Srpska,17163
2013,Broj,Oba spola,34,Republika Srpska,16964
2013,Broj,Oba spola,35,Republika Srpska,17055
2013,Broj,Oba spola,36,Republika Srpska,17205
2013,Broj,Oba spola,37,Republika Srpska,17747
2013,Broj,Oba spola,38,Republika Srpska,16968
2013,Broj,Oba spola,39,Republika Srpska,16470
2013,Broj,Oba spola,40,Republika Srpska,16378
2013,Broj,Oba spola,41,Republika Srpska,16692
2013,Broj,Oba spola,42,Republika Srpska,15959
2013,Broj,Oba spola,43,Republika Srpska,15159
2013,Broj,Oba spola,44,Republika Srpska,15975
2013,Broj,Oba spola,45,Republika Srpska,16366
2013,Broj,Oba spola,46,Republika Srpska,17354
2013,Broj,Oba spola,47,Republika Srpska,17644
2013,Broj,Oba spola,48,Republika Srpska,18118
2013,Broj,Oba spola,49,Republika Srpska,17764
2013,Broj,Oba spola,50,Republika Srpska,18129
2013,Broj,Oba spola,51,Republika Srpska,19279
2013,Broj,Oba spola,52,Republika Srpska,19220
2013,Broj,Oba spola,53,Republika Srpska,19247
2013,Broj,Oba spola,54,Republika Srpska,20131
2013,Broj,Oba spola,55,Republika Srpska,18809
2013,Broj,Oba spola,56,Republika Srpska,18331
2013,Broj,Oba spola,57,Republika Srpska,19518
2013,Broj,Oba spola,58,Republika Srpska,20118
2013,Broj,Oba spola,59,Republika Srpska,19897
2013,Broj,Oba spola,60,Republika Srpska,20106
2013,Broj,Oba spola,61,Republika Srpska,18842
2013,Broj,Oba spola,62,Republika Srpska,16910
2013,Broj,Oba spola,63,Republika Srpska,16983
2013,Broj,Oba spola,64,Republika Srpska,16649
2013,Broj,Oba spola,65,Republika Srpska,14404
2013,Broj,Oba spola,66,Republika Srpska,15233
2013,Broj,Oba spola,67,Republika Srpska,11899
2013,Broj,Oba spola,68,Republika Srpska,9855
2013,Broj,Oba spola,69,Republika Srpska,9879
2013,Broj,Oba spola,70,Republika Srpska,9798
2013,Broj,Oba spola,71,Republika Srpska,10268
2013,Broj,Oba spola,72,Republika Srpska,11904
2013,Broj,Oba spola,73,Republika Srpska,12421
2013,Broj,Oba spola,74,Republika Srpska,11682
2013,Broj,Oba spola,75,Republika Srpska,11369
2013,Broj,Oba spola,76,Republika Srpska,10585
2013,Broj,Oba spola,77,Republika Srpska,10014
2013,Broj,Oba spola,78,Republika Srpska,8706
2013,Broj,Oba spola,79,Republika Srpska,8117
2013,Broj,Oba spola,80,Republika Srpska,6749
2013,Broj,Oba spola,81,Republika Srpska,6055
2013,Broj,Oba spola,82,Republika Srpska,4955
2013,Broj,Oba spola,83,Republika Srpska,4658
2013,Broj,Oba spola,84,Republika Srpska,3592
2013,Broj,Oba spola,85+,Republika Srpska,11771
2013,Broj,Oba spola,Unknown,Republika Srpska,0
2013,Broj,Oba spola,Total,Republika Srpska,1228423
2013,Broj,M,0,Republika Srpska,5330
2013,Broj,M,1,Republika Srpska,5435
2013,Broj,M,2,Republika Srpska,5617
2013,Broj,M,3,Republika Srpska,5812
2013,Broj,M,4,Republika Srpska,6053
2013,Broj,M,5,Republika Srpska,5889
2013,Broj,M,6,Republika Srpska,5619
2013,Broj,M,7,Republika Srpska,5667
2013,Broj,M,8,Republika Srpska,5903
2013,Broj,M,9,Republika Srpska,5935
2013,Broj,M,10,Republika Srpska,6009
2013,Broj,M,11,Republika Srpska,6093
2013,Broj,M,12,Republika Srpska,6516
2013,Broj,M,13,Republika Srpska,6505
2013,Broj,M,14,Republika Srpska,6626
2013,Broj,M,15,Republika Srpska,7306
2013,Broj,M,16,Republika Srpska,8099
2013,Broj,M,17,Republika Srpska,7621
2013,Broj,M,18,Republika Srpska,7885
2013,Broj,M,19,Republika Srpska,7972
2013,Broj,M,20,Republika Srpska,6576
2013,Broj,M,21,Republika Srpska,7089
2013,Broj,M,22,Republika Srpska,7914
2013,Broj,M,23,Republika Srpska,7872
2013,Broj,M,24,Republika Srpska,7801
2013,Broj,M,25,Republika Srpska,8267
2013,Broj,M,26,Republika Srpska,8234
2013,Broj,M,27,Republika Srpska,8197
2013,Broj,M,28,Republika Srpska,8623
2013,Broj,M,29,Republika Srpska,8900
2013,Broj,M,30,Republika Srpska,8788
2013,Broj,M,31,Republika Srpska,8854
2013,Broj,M,32,Republika Srpska,8715
2013,Broj,M,33,Republika Srpska,8746
2013,Broj,M,34,Republika Srpska,8644
2013,Broj,M,35,Republika Srpska,8818
2013,Broj,M,36,Republika Srpska,8821
2013,Broj,M,37,Republika Srpska,9154
2013,Broj,M,38,Republika Srpska,8748
2013,Broj,M,39,Republika Srpska,8540
2013,Broj,M,40,Republika Srpska,8485
2013,Broj,M,41,Republika Srpska,8652
2013,Broj,M,42,Republika Srpska,8241
2013,Broj,M,43,Republika Srpska,7740
2013,Broj,M,44,Republika Srpska,8229
2013,Broj,M,45,Republika Srpska,8297
2013,Broj,M,46,Republika Srpska,8826
2013,Broj,M,47,Republika Srpska,8964
2013,Broj,M,48,Republika Srpska,9100
2013,Broj,M,49,Republika Srpska,8870
2013,Broj,M,50,Republika Srpska,8995
2013,Broj,M,51,Republika Srpska,9574
2013,Broj,M,52,Republika Srpska,9575
2013,Broj,M,53,Republika Srpska,9548
2013,Broj,M,54,Republika Srpska,9833
2013,Broj,M,55,Republika Srpska,9160
2013,Broj,M,56,Republika Srpska,8931
2013,Broj,M,57,Republika Srpska,9518
2013,Broj,M,58,Republika Srpska,9803
2013,Broj,M,59,Republika Srpska,9734
2013,Broj,M,60,Republika Srpska,9704
2013,Broj,M,61,Republika Srpska,8999
2013,Broj,M,62,Republika Srpska,8098
2013,Broj,M,63,Republika Srpska,8022
2013,Broj,M,64,Republika Srpska,7849
2013,Broj,M,65,Republika Srpska,6607
2013,Broj,M,66,Republika Srpska,7031
2013,Broj,M,67,Republika Srpska,5391
2013,Broj,M,68,Republika Srpska,4414
2013,Broj,M,69,Republika Srpska,4439
2013,Broj,M,70,Republika Srpska,4144
2013,Broj,M,71,Republika Srpska,4446
2013,Broj,M,72,Republika Srpska,5149
2013,Broj,M,73,Republika Srpska,5273
2013,Broj,M,74,Republika Srpska,4938
2013,Broj,M,75,Republika Srpska,4752
2013,Broj,M,76,Republika Srpska,4366
2013,Broj,M,77,Republika Srpska,3935
2013,Broj,M,78,Republika Srpska,3377
2013,Broj,M,79,Republika Srpska,3135
2013,Broj,M,80,Republika Srpska,2568
2013,Broj,M,81,Republika Srpska,2288
2013,Broj,M,82,Republika Srpska,1859
2013,Broj,M,83,Republika Srpska,1713
2013,Broj,M,84,Republika Srpska,1335
2013,Broj,M,85+,Republika Srpska,3927
