Year,UNIT_MEASURE,Spol,Godine,Municipality,Value
2013,Broj,Oba spola,55-59,Tomislavgrad,2103
2013,Broj,Oba spola,60-64,Tomislavgrad,1665
2013,Broj,Oba spola,65-69,Tomislavgrad,1194
2013,Broj,Oba spola,70-74,Tomislavgrad,1276
2013,Broj,Oba spola,75-79,Tomislavgrad,1047
2013,Broj,Oba spola,80-84,Tomislavgrad,682
2013,Broj,Oba spola,85+,Tomislavgrad,388
2013,Broj,Oba spola,Total,Tomislavgrad,31592
2013,Broj,Oba spola,0-4,Travnik,2797
2013,Broj,Oba spola,5-9,Travnik,2975
2013,Broj,Oba spola,10-14,Travnik,3346
2013,Broj,Oba spola,15-19,Travnik,4087
2013,Broj,Oba spola,20-24,Travnik,3580
2013,Broj,Oba spola,25-29,Travnik,3956
2013,Broj,Oba spola,30-34,Travnik,3921
2013,Broj,Oba spola,35-39,Travnik,3988
2013,Broj,Oba spola,40-44,Travnik,3906
2013,Broj,Oba spola,45-49,Travnik,3928
2013,Broj,Oba spola,50-54,Travnik,4039
2013,Broj,Oba spola,55-59,Travnik,3709
2013,Broj,Oba spola,60-64,Travnik,3073
2013,Broj,Oba spola,65-69,Travnik,2008
2013,Broj,Oba spola,70-74,Travnik,1881
2013,Broj,Oba spola,75-79,Travnik,1349
2013,Broj,Oba spola,80-84,Travnik,680
2013,Broj,Oba spola,85+,Travnik,259
2013,Broj,Oba spola,Total,Travnik,53482
2013,Broj,Oba spola,0-4,Tuzla,5105
2013,Broj,Oba spola,5-9,Tuzla,4709
2013,Broj,Oba spola,10-14,Tuzla,4816
2013,Broj,Oba spola,15-19,Tuzla,6823
2013,Broj,Oba spola,20-24,Tuzla,7029
2013,Broj,Oba spola,25-29,Tuzla,8282
2013,Broj,Oba spola,30-34,Tuzla,8028
2013,Broj,Oba spola,35-39,Tuzla,7412
2013,Broj,Oba spola,40-44,Tuzla,6798
2013,Broj,Oba spola,45-49,Tuzla,8386
2013,Broj,Oba spola,50-54,Tuzla,9910
2013,Broj,Oba spola,55-59,Tuzla,9065
2013,Broj,Oba spola,60-64,Tuzla,7796
2013,Broj,Oba spola,65-69,Tuzla,5127
2013,Broj,Oba spola,70-74,Tuzla,4824
2013,Broj,Oba spola,75-79,Tuzla,3976
2013,Broj,Oba spola,80-84,Tuzla,2029
2013,Broj,Oba spola,85+,Tuzla,864
2013,Broj,Oba spola,Total,Tuzla,110979
2013,Broj,Oba spola,0-4,Velika Kladuša,2756
2013,Broj,Oba spola,5-9,Velika Kladuša,2831
2013,Broj,Oba spola,10-14,Velika Kladuša,2773
2013,Broj,Oba spola,15-19,Velika Kladuša,3202
2013,Broj,Oba spola,20-24,Velika Kladuša,3097
2013,Broj,Oba spola,25-29,Velika Kladuša,3327
2013,Broj,Oba spola,30-34,Velika Kladuša,3379
2013,Broj,Oba spola,35-39,Velika Kladuša,3160
2013,Broj,Oba spola,40-44,Velika Kladuša,2617
2013,Broj,Oba spola,45-49,Velika Kladuša,2658
2013,Broj,Oba spola,50-54,Velika Kladuša,2659
2013,Broj,Oba spola,55-59,Velika Kladuša,2422
2013,Broj,Oba spola,60-64,Velika Kladuša,1850
2013,Broj,Oba spola,65-69,Velika Kladuša,1389
2013,Broj,Oba spola,70-74,Velika Kladuša,1141
2013,Broj,Oba spola,75-79,Velika Kladuša,727
2013,Broj,Oba spola,80-84,Velika Kladuša,315
2013,Broj,Oba spola,85+,Velika Kladuša,116
2013,Broj,Oba spola,Total,Velika Kladuša,40419
2013,Broj,Oba spola,0-4,Visoko,2309
2013,Broj,Oba spola,5-9,Visoko,2331
2013,Broj,Oba spola,10-14,Visoko,2324
2013,Broj,Oba spola,15-19,Visoko,2828
2013,Broj,Oba spola,20-24,Visoko,2752
2013,Broj,Oba spola,25-29,Visoko,2935
2013,Broj,Oba spola,30-34,Visoko,2910
2013,Broj,Oba spola,35-39,Visoko,2866
2013,Broj,Oba spola,40-44,Visoko,2759
2013,Broj,Oba spola,45-49,Visoko,2861
2013,Broj,Oba spola,50-54,Visoko,3065
2013,Broj,Oba spola,55-59,Visoko,2953
2013,Broj,Oba spola,60-64,Visoko,2485
2013,Broj,Oba spola,65-69,Visoko,1640
2013,Broj,Oba spola,70-74,Visoko,1431
2013,Broj,Oba spola,75-79,Visoko,864
2013,Broj,Oba spola,80-84,Visoko,462
2013,Broj,Oba spola,85+,Visoko,163
2013,Broj,Oba spola,Total,Visoko,39938
2013,Broj,Oba spola,0-4,Zavidovići,2005
2013,Broj,Oba spola,5-9,Zavidovići,1997
2013,Broj,Oba spola,10-14,Zavidovići,2073
2013,Broj,Oba spola,15-19,Zavidovići,2919
2013,Broj,Oba spola,20-24,Zavidovići,2503
2013,Broj,Oba spola,25-29,Zavidovići,2702
2013,Broj,Oba spola,30-34,Zavidovići,2462
2013,Broj,Oba spola,35-39,Zavidovići,2621
2013,Broj,Oba spola,40-44,Zavidovići,2569
2013,Broj,Oba spola,45-49,Zavidovići,2761
2013,Broj,Oba spola,50-54,Zavidovići,2991
2013,Broj,Oba spola,55-59,Zavidovići,2539
2013,Broj,Oba spola,60-64,Zavidovići,2081
2013,Broj,Oba spola,65-69,Zavidovići,1377
2013,Broj,Oba spola,70-74,Zavidovići,1028
2013,Broj,Oba spola,75-79,Zavidovići,811
2013,Broj,Oba spola,80-84,Zavidovići,413
2013,Broj,Oba spola,85+,Zavidovići,136
2013,Broj,Oba spola,Total,Zavidovići,35988
2013,Broj,Oba spola,0-4,Zenica,6072
2013,Broj,Oba spola,5-9,Zenica,5641
2013,Broj,Oba spola,10-14,Zenica,6044
2013,Broj,Oba spola,15-19,Zenica,7985
2013,Broj,Oba spola,20-24,Zenica,7463
2013,Broj,Oba spola,25-29,Zenica,8475
2013,Broj,Oba spola,30-34,Zenica,8084
2013,Broj,Oba spola,35-39,Zenica,7722
2013,Broj,Oba spola,40-44,Zenica,7266
2013,Broj,Oba spola,45-49,Zenica,8325
2013,Broj,Oba spola,50-54,Zenica,9067
2013,Broj,Oba spola,55-59,Zenica,8278
2013,Broj,Oba spola,60-64,Zenica,6585
2013,Broj,Oba spola,65-69,Zenica,4381
2013,Broj,Oba spola,70-74,Zenica,3858
2013,Broj,Oba spola,75-79,Zenica,3171
2013,Broj,Oba spola,80-84,Zenica,1629
2013,Broj,Oba spola,85+,Zenica,617
2013,Broj,Oba spola,Total,Zenica,110663
2013,Broj,Oba spola,0-4,Zvornik,3061
2013,Broj,Oba spola,5-9,Zvornik,3232
2013,Broj,Oba spola,10-14,Zvornik,3202
2013,Broj,Oba spola,15-19,Zvornik,3646
2013,Broj,Oba spola,20-24,Zvornik,3846
2013,Broj,Oba spola,25-29,Zvornik,4370
2013,Broj,Oba spola,30-34,Zvornik,4486
2013,Broj,Oba spola,35-39,Zvornik,4410
2013,Broj,Oba spola,40-44,Zvornik,3978
2013,Broj,Oba spola,45-49,Zvornik,4234
2013,Broj,Oba spola,50-54,Zvornik,4664
2013,Broj,Oba spola,55-59,Zvornik,4422
2013,Broj,Oba spola,60-64,Zvornik,3928
2013,Broj,Oba spola,65-69,Zvornik,2406
2013,Broj,Oba spola,70-74,Zvornik,2025
2013,Broj,Oba spola,75-79,Zvornik,1719
2013,Broj,Oba spola,80-84,Zvornik,886
2013,Broj,Oba spola,85+,Zvornik,341
2013,Broj,Oba spola,Total,Zvornik,58856
2013,Broj,Oba spola,0-4,Žepče,1657
2013,Broj,Oba spola,5-9,Žepče,1743
2013,Broj,Oba spola,10-14,Žepče,1964
2013,Broj,Oba spola,15-19,Žepče,2586
2013,Broj,Oba spola,20-24,Žepče,2134
2013,Broj,Oba spola,25-29,Žepče,2303
2013,Broj,Oba spola,30-34,Žepče,2183
2013,Broj,Oba spola,35-39,Žepče,2179
2013,Broj,Oba spola,40-44,Žepče,2224
2013,Broj,Oba spola,45-49,Žepče,2462
2013,Broj,Oba spola,50-54,Žepče,2372
2013,Broj,Oba spola,55-59,Žepče,1880
2013,Broj,Oba spola,60-64,Žepče,1469
2013,Broj,Oba spola,65-69,Žepče,1005
2013,Broj,Oba spola,70-74,Žepče,891
2013,Broj,Oba spola,75-79,Žepče,704
2013,Broj,Oba spola,80-84,Žepče,341
2013,Broj,Oba spola,85+,Žepče,122
2013,Broj,Oba spola,Total,Žepče,30219
2013,Broj,Oba spola,0-4,Živinice,3389
2013,Broj,Oba spola,5-9,Živinice,3178
2013,Broj,Oba spola,10-14,Živinice,3333
2013,Broj,Oba spola,15-19,Živinice,4417
2013,Broj,Oba spola,20-24,Živinice,4750
2013,Broj,Oba spola,25-29,Živinice,4567
2013,Broj,Oba spola,30-34,Živinice,4044
2013,Broj,Oba spola,35-39,Živinice,4005
2013,Broj,Oba spola,40-44,Živinice,4272
2013,Broj,Oba spola,45-49,Živinice,4638
2013,Broj,Oba spola,50-54,Živinice,4881
2013,Broj,Oba spola,55-59,Živinice,3802
2013,Broj,Oba spola,60-64,Živinice,3096
2013,Broj,Oba spola,65-69,Živinice,2068
2013,Broj,Oba spola,70-74,Živinice,1513
2013,Broj,Oba spola,75-79,Živinice,1074
2013,Broj,Oba spola,80-84,Živinice,538
2013,Broj,Oba spola,85+,Živinice,200
2013,Broj,Oba spola,Total,Živinice,57765
