Year,UNIT_MEASURE,AGE,Sex,Value
2020,Number,92,Both sexes,1976.79
2020,Number,93,Both sexes,1162.22
2020,Number,94,Both sexes,792.95
2020,Number,95,Both sexes,523.34
2020,Number,96,Both sexes,336.91
2020,Number,97,Both sexes,212.32
2020,Number,98,Both sexes,146.45
2020,Number,99,Both sexes,74.81
2020,Number,100,Both sexes,54.11
2020,Number,101,Both sexes,36.9
2020,Number,102,Both sexes,40.61
2020,Number,103,Both sexes,22.71
2020,Number,104,Both sexes,11.06
2020,Number,105,Both sexes,6.08
2020,Number,106,Both sexes,3.52
2020,Number,107,Both sexes,1.81
2020,Number,108,Both sexes,0.85
2020,Number,109,Both sexes,0.55
2020,Number,110,Both sexes,0.24
2020,Number,111,Both sexes,0.0
2020,Number,112,Both sexes,0.0
2020,Number,113,Both sexes,0.0
2020,Number,114,Both sexes,0.0
2020,Number,115,Both sexes,0.0
2020,Number,116,Both sexes,0.0
2020,Number,117,Both sexes,0.0
2020,Number,118,Both sexes,0.0
2020,Number,119,Both sexes,0.0
2020,Number,120+,Both sexes,0.0
2020,% of total,Total,Both sexes,100.0
2020,% of total,0,Both sexes,0.85
2020,% of total,1,Both sexes,0.86
2020,% of total,2,Both sexes,0.84
2020,% of total,3,Both sexes,0.86
2020,% of total,4,Both sexes,0.86
2020,% of total,5,Both sexes,0.85
2020,% of total,6,Both sexes,0.87
2020,% of total,7,Both sexes,0.88
2020,% of total,8,Both sexes,1.0
2020,% of total,9,Both sexes,0.99
2020,% of total,10,Both sexes,1.03
2020,% of total,11,Both sexes,1.06
2020,% of total,12,Both sexes,1.06
2020,% of total,13,Both sexes,1.02
2020,% of total,14,Both sexes,1.01
2020,% of total,15,Both sexes,1.03
2020,% of total,16,Both sexes,1.02
2020,% of total,17,Both sexes,1.04
2020,% of total,18,Both sexes,1.05
2020,% of total,19,Both sexes,1.07
2020,% of total,20,Both sexes,1.09
2020,% of total,21,Both sexes,1.12
2020,% of total,22,Both sexes,1.23
2020,% of total,23,Both sexes,1.36
2020,% of total,24,Both sexes,1.43
2020,% of total,25,Both sexes,1.42
2020,% of total,26,Both sexes,1.22
2020,% of total,27,Both sexes,1.04
2020,% of total,28,Both sexes,1.2
2020,% of total,29,Both sexes,1.35
2020,% of total,30,Both sexes,1.34
2020,% of total,31,Both sexes,1.34
2020,% of total,32,Both sexes,1.41
2020,% of total,33,Both sexes,1.41
2020,% of total,34,Both sexes,1.4
2020,% of total,35,Both sexes,1.43
2020,% of total,36,Both sexes,1.46
2020,% of total,37,Both sexes,1.44
2020,% of total,38,Both sexes,1.46
2020,% of total,39,Both sexes,1.44
2020,% of total,40,Both sexes,1.43
2020,% of total,41,Both sexes,1.41
2020,% of total,42,Both sexes,1.41
2020,% of total,43,Both sexes,1.41
2020,% of total,44,Both sexes,1.47
2020,% of total,45,Both sexes,1.42
2020,% of total,46,Both sexes,1.39
2020,% of total,47,Both sexes,1.38
2020,% of total,48,Both sexes,1.41
2020,% of total,49,Both sexes,1.4
2020,% of total,50,Both sexes,1.3
2020,% of total,51,Both sexes,1.4
2020,% of total,52,Both sexes,1.41
2020,% of total,53,Both sexes,1.44
2020,% of total,54,Both sexes,1.49
2020,% of total,55,Both sexes,1.54
2020,% of total,56,Both sexes,1.49
2020,% of total,57,Both sexes,1.51
2020,% of total,58,Both sexes,1.55
2020,% of total,59,Both sexes,1.55
2020,% of total,60,Both sexes,1.55
2020,% of total,61,Both sexes,1.5
2020,% of total,62,Both sexes,1.51
2020,% of total,63,Both sexes,1.37
2020,% of total,64,Both sexes,1.43
2020,% of total,65,Both sexes,1.39
2020,% of total,66,Both sexes,1.41
2020,% of total,67,Both sexes,1.31
2020,% of total,68,Both sexes,1.3
2020,% of total,69,Both sexes,1.04
2020,% of total,70,Both sexes,1.1
2020,% of total,71,Both sexes,1.06
2020,% of total,72,Both sexes,0.92
2020,% of total,73,Both sexes,0.89
2020,% of total,74,Both sexes,0.78
2020,% of total,75,Both sexes,0.61
2020,% of total,76,Both sexes,0.56
2020,% of total,77,Both sexes,0.55
2020,% of total,78,Both sexes,0.56
2020,% of total,79,Both sexes,0.59
2020,% of total,80,Both sexes,0.61
2020,% of total,81,Both sexes,0.54
2020,% of total,82,Both sexes,0.49
2020,% of total,83,Both sexes,0.44
2020,% of total,84,Both sexes,0.38
2020,% of total,85,Both sexes,0.32
2020,% of total,86,Both sexes,0.27
2020,% of total,87,Both sexes,0.22
2020,% of total,88,Both sexes,0.17
2020,% of total,89,Both sexes,0.12
2020,% of total,90,Both sexes,0.11
2020,% of total,91,Both sexes,0.07
2020,% of total,92,Both sexes,0.06
2020,% of total,93,Both sexes,0.03
2020,% of total,94,Both sexes,0.02
2020,% of total,95,Both sexes,0.02
2020,% of total,96,Both sexes,0.01
2020,% of total,97,Both sexes,0.01
2020,% of total,98,Both sexes,0.0
2020,% of total,99,Both sexes,0.0
2020,% of total,100,Both sexes,0.0
2020,% of total,101,Both sexes,0.0
2020,% of total,102,Both sexes,0.0
2020,% of total,103,Both sexes,0.0
2020,% of total,104,Both sexes,0.0
2020,% of total,105,Both sexes,0.0
2020,% of total,106,Both sexes,0.0
2020,% of total,107,Both sexes,0.0
2020,% of total,108,Both sexes,0.0
2020,% of total,109,Both sexes,0.0
2020,% of total,110,Both sexes,0.0
2020,% of total,111,Both sexes,0.0
2020,% of total,112,Both sexes,0.0
2020,% of total,113,Both sexes,0.0
2020,% of total,114,Both sexes,0.0
2020,% of total,115,Both sexes,0.0
2020,% of total,116,Both sexes,0.0
2020,% of total,117,Both sexes,0.0
2020,% of total,118,Both sexes,0.0
2020,% of total,119,Both sexes,0.0
2020,% of total,120+,Both sexes,0.0
2025,Number,Total,Both sexes,3269526.46
2025,Number,0,Both sexes,25776.21
2025,Number,1,Both sexes,26165.1
2025,Number,2,Both sexes,26609.97
2025,Number,3,Both sexes,27086.24
2025,Number,4,Both sexes,27576.75
2025,Number,5,Both sexes,28065.82
2025,Number,6,Both sexes,28600.71
2025,Number,7,Both sexes,28074.72
2025,Number,8,Both sexes,29037.37
2025,Number,9,Both sexes,29243.57
2025,Number,10,Both sexes,28969.9
2025,Number,11,Both sexes,29565.32
2025,Number,12,Both sexes,29930.73
2025,Number,13,Both sexes,33674.47
2025,Number,14,Both sexes,33453.89
2025,Number,15,Both sexes,34726.93
2025,Number,16,Both sexes,35623.74
2025,Number,17,Both sexes,35267.26
2025,Number,18,Both sexes,33581.28
2025,Number,19,Both sexes,32928.03
2025,Number,20,Both sexes,32732.23
2025,Number,21,Both sexes,31890.61
2025,Number,22,Both sexes,31793.19
2025,Number,23,Both sexes,31455.15
2025,Number,24,Both sexes,32051.07
2025,Number,25,Both sexes,32467.3
2025,Number,26,Both sexes,33064.77
2025,Number,27,Both sexes,36371.09
2025,Number,28,Both sexes,40479.61
2025,Number,29,Both sexes,42830.31
2025,Number,30,Both sexes,43413.2
2025,Number,31,Both sexes,37644.27
2025,Number,32,Both sexes,32407.49
2025,Number,33,Both sexes,37848.11
2025,Number,34,Both sexes,42833.09
2025,Number,35,Both sexes,42590.31
2025,Number,36,Both sexes,42593.29
2025,Number,37,Both sexes,44969.15
2025,Number,38,Both sexes,45038.4
2025,Number,39,Both sexes,45005.13
2025,Number,40,Both sexes,46115.39
2025,Number,41,Both sexes,47199.27
2025,Number,42,Both sexes,46761.78
2025,Number,43,Both sexes,47339.34
2025,Number,44,Both sexes,47026.78
2025,Number,45,Both sexes,46942.29
2025,Number,46,Both sexes,46383.92
2025,Number,47,Both sexes,46510.3
2025,Number,48,Both sexes,46468.18
2025,Number,49,Both sexes,48492.46
2025,Number,50,Both sexes,47040.51
2025,Number,51,Both sexes,46253.43
2025,Number,52,Both sexes,45847.63
2025,Number,53,Both sexes,47006.54
2025,Number,54,Both sexes,46664.14
2025,Number,55,Both sexes,43430.23
2025,Number,56,Both sexes,46840.05
2025,Number,57,Both sexes,47107.92
2025,Number,58,Both sexes,48159.4
2025,Number,59,Both sexes,49835.98
2025,Number,60,Both sexes,51236.54
2025,Number,61,Both sexes,49779.28
2025,Number,62,Both sexes,50422.63
2025,Number,63,Both sexes,51589.22
2025,Number,64,Both sexes,51362.53
2025,Number,65,Both sexes,51080.11
2025,Number,66,Both sexes,49048.68
2025,Number,67,Both sexes,49122.9
2025,Number,68,Both sexes,44212.93
2025,Number,69,Both sexes,45730.54
2025,Number,70,Both sexes,43895.38
2025,Number,71,Both sexes,44163.83
2025,Number,72,Both sexes,40272.67
2025,Number,73,Both sexes,39625.62
2025,Number,74,Both sexes,31320.31
2025,Number,75,Both sexes,32509.77
2025,Number,76,Both sexes,30739.77
2025,Number,77,Both sexes,26132.47
2025,Number,78,Both sexes,24627.44
2025,Number,79,Both sexes,21234.33
2025,Number,80,Both sexes,16199.86
2025,Number,81,Both sexes,14539.85
2025,Number,82,Both sexes,13860.15
2025,Number,83,Both sexes,13483.84
2025,Number,84,Both sexes,13609.77
2025,Number,85,Both sexes,13419.97
2025,Number,86,Both sexes,11406.0
2025,Number,87,Both sexes,9816.39
2025,Number,88,Both sexes,8225.23
2025,Number,89,Both sexes,6723.6
2025,Number,90,Both sexes,5327.65
2025,Number,91,Both sexes,4114.45
2025,Number,92,Both sexes,3103.84
2025,Number,93,Both sexes,2225.65
2025,Number,94,Both sexes,1486.88
2025,Number,95,Both sexes,1168.34
2025,Number,96,Both sexes,700.01
2025,Number,97,Both sexes,504.68
2025,Number,98,Both sexes,264.97
2025,Number,99,Both sexes,161.1
2025,Number,100,Both sexes,94.27
2025,Number,101,Both sexes,53.56
2025,Number,102,Both sexes,29.51
2025,Number,103,Both sexes,17.5
2025,Number,104,Both sexes,7.79
2025,Number,105,Both sexes,4.93
2025,Number,106,Both sexes,3.02
2025,Number,107,Both sexes,2.89
2025,Number,108,Both sexes,1.38
2025,Number,109,Both sexes,0.57
2025,Number,110,Both sexes,0.27
2025,Number,111,Both sexes,0.14
2025,Number,112,Both sexes,0.06
2025,Number,113,Both sexes,0.03
2025,Number,114,Both sexes,0.02
2025,Number,115,Both sexes,0.0
2025,Number,116,Both sexes,0.0
2025,Number,117,Both sexes,0.0
2025,Number,118,Both sexes,0.0
2025,Number,119,Both sexes,0.0
2025,Number,120+,Both sexes,0.0
2025,% of total,Total,Both sexes,100.0
2025,% of total,0,Both sexes,0.79
2025,% of total,1,Both sexes,0.8
2025,% of total,2,Both sexes,0.81
2025,% of total,3,Both sexes,0.83
2025,% of total,4,Both sexes,0.84
2025,% of total,5,Both sexes,0.86
2025,% of total,6,Both sexes,0.87
2025,% of total,7,Both sexes,0.86
2025,% of total,8,Both sexes,0.89
2025,% of total,9,Both sexes,0.89
2025,% of total,10,Both sexes,0.89
2025,% of total,11,Both sexes,0.9
2025,% of total,12,Both sexes,0.92
2025,% of total,13,Both sexes,1.03
2025,% of total,14,Both sexes,1.02
2025,% of total,15,Both sexes,1.06
2025,% of total,16,Both sexes,1.09
2025,% of total,17,Both sexes,1.08
2025,% of total,18,Both sexes,1.03
2025,% of total,19,Both sexes,1.01
2025,% of total,20,Both sexes,1.0
2025,% of total,21,Both sexes,0.98
2025,% of total,22,Both sexes,0.97
2025,% of total,23,Both sexes,0.96
2025,% of total,24,Both sexes,0.98
2025,% of total,25,Both sexes,0.99
2025,% of total,26,Both sexes,1.01
2025,% of total,27,Both sexes,1.11
2025,% of total,28,Both sexes,1.24
2025,% of total,29,Both sexes,1.31
2025,% of total,30,Both sexes,1.33
2025,% of total,31,Both sexes,1.15
2025,% of total,32,Both sexes,0.99
2025,% of total,33,Both sexes,1.16
2025,% of total,34,Both sexes,1.31
2025,% of total,35,Both sexes,1.3
2025,% of total,36,Both sexes,1.3
2025,% of total,37,Both sexes,1.38
2025,% of total,38,Both sexes,1.38
2025,% of total,39,Both sexes,1.38
2025,% of total,40,Both sexes,1.41
2025,% of total,41,Both sexes,1.44
2025,% of total,42,Both sexes,1.43
2025,% of total,43,Both sexes,1.45
