Year,UNIT_MEASURE,Sex,Age,Entity,Value
2013,Number,Both sexes or no breakdown by sex,5,Brčko District of BiH,851
2013,Number,Both sexes or no breakdown by sex,6,Brčko District of BiH,917
2013,Number,Both sexes or no breakdown by sex,7,Brčko District of BiH,822
2013,Number,Both sexes or no breakdown by sex,8,Brčko District of BiH,865
2013,Number,Both sexes or no breakdown by sex,9,Brčko District of BiH,857
2013,Number,Both sexes or no breakdown by sex,10,Brčko District of BiH,922
2013,Number,Both sexes or no breakdown by sex,11,Brčko District of BiH,876
2013,Number,Both sexes or no breakdown by sex,12,Brčko District of BiH,944
2013,Number,Both sexes or no breakdown by sex,13,Brčko District of BiH,933
2013,Number,Both sexes or no breakdown by sex,14,Brčko District of BiH,929
2013,Number,Both sexes or no breakdown by sex,15,Brčko District of BiH,1072
2013,Number,Both sexes or no breakdown by sex,16,Brčko District of BiH,1169
2013,Number,Both sexes or no breakdown by sex,17,Brčko District of BiH,1113
2013,Number,Both sexes or no breakdown by sex,18,Brčko District of BiH,1013
2013,Number,Both sexes or no breakdown by sex,19,Brčko District of BiH,956
2013,Number,Both sexes or no breakdown by sex,20,Brčko District of BiH,826
2013,Number,Both sexes or no breakdown by sex,21,Brčko District of BiH,989
2013,Number,Both sexes or no breakdown by sex,22,Brčko District of BiH,1056
2013,Number,Both sexes or no breakdown by sex,23,Brčko District of BiH,1047
2013,Number,Both sexes or no breakdown by sex,24,Brčko District of BiH,1018
2013,Number,Both sexes or no breakdown by sex,25,Brčko District of BiH,1103
2013,Number,Both sexes or no breakdown by sex,26,Brčko District of BiH,1113
2013,Number,Both sexes or no breakdown by sex,27,Brčko District of BiH,1054
2013,Number,Both sexes or no breakdown by sex,28,Brčko District of BiH,1235
2013,Number,Both sexes or no breakdown by sex,29,Brčko District of BiH,1224
2013,Number,Both sexes or no breakdown by sex,30,Brčko District of BiH,1230
2013,Number,Both sexes or no breakdown by sex,31,Brčko District of BiH,1253
2013,Number,Both sexes or no breakdown by sex,32,Brčko District of BiH,1154
2013,Number,Both sexes or no breakdown by sex,33,Brčko District of BiH,1196
2013,Number,Both sexes or no breakdown by sex,34,Brčko District of BiH,1158
2013,Number,Both sexes or no breakdown by sex,35,Brčko District of BiH,1205
2013,Number,Both sexes or no breakdown by sex,36,Brčko District of BiH,1176
2013,Number,Both sexes or no breakdown by sex,37,Brčko District of BiH,1239
2013,Number,Both sexes or no breakdown by sex,38,Brčko District of BiH,1207
2013,Number,Both sexes or no breakdown by sex,39,Brčko District of BiH,1279
2013,Number,Both sexes or no breakdown by sex,40,Brčko District of BiH,1256
2013,Number,Both sexes or no breakdown by sex,41,Brčko District of BiH,1277
2013,Number,Both sexes or no breakdown by sex,42,Brčko District of BiH,1160
2013,Number,Both sexes or no breakdown by sex,43,Brčko District of BiH,1204
2013,Number,Both sexes or no breakdown by sex,44,Brčko District of BiH,1248
2013,Number,Both sexes or no breakdown by sex,45,Brčko District of BiH,1288
2013,Number,Both sexes or no breakdown by sex,46,Brčko District of BiH,1301
2013,Number,Both sexes or no breakdown by sex,47,Brčko District of BiH,1313
2013,Number,Both sexes or no breakdown by sex,48,Brčko District of BiH,1404
2013,Number,Both sexes or no breakdown by sex,49,Brčko District of BiH,1267
2013,Number,Both sexes or no breakdown by sex,50,Brčko District of BiH,1317
2013,Number,Both sexes or no breakdown by sex,51,Brčko District of BiH,1325
2013,Number,Both sexes or no breakdown by sex,52,Brčko District of BiH,1362
2013,Number,Both sexes or no breakdown by sex,53,Brčko District of BiH,1311
2013,Number,Both sexes or no breakdown by sex,54,Brčko District of BiH,1258
2013,Number,Both sexes or no breakdown by sex,55,Brčko District of BiH,1199
2013,Number,Both sexes or no breakdown by sex,56,Brčko District of BiH,1110
2013,Number,Both sexes or no breakdown by sex,57,Brčko District of BiH,1150
2013,Number,Both sexes or no breakdown by sex,58,Brčko District of BiH,1167
2013,Number,Both sexes or no breakdown by sex,59,Brčko District of BiH,1149
2013,Number,Both sexes or no breakdown by sex,60,Brčko District of BiH,1100
2013,Number,Both sexes or no breakdown by sex,61,Brčko District of BiH,1073
2013,Number,Both sexes or no breakdown by sex,62,Brčko District of BiH,983
2013,Number,Both sexes or no breakdown by sex,63,Brčko District of BiH,1052
2013,Number,Both sexes or no breakdown by sex,64,Brčko District of BiH,940
2013,Number,Both sexes or no breakdown by sex,65,Brčko District of BiH,899
2013,Number,Both sexes or no breakdown by sex,66,Brčko District of BiH,899
2013,Number,Both sexes or no breakdown by sex,67,Brčko District of BiH,750
2013,Number,Both sexes or no breakdown by sex,68,Brčko District of BiH,655
2013,Number,Both sexes or no breakdown by sex,69,Brčko District of BiH,705
2013,Number,Both sexes or no breakdown by sex,70,Brčko District of BiH,698
2013,Number,Both sexes or no breakdown by sex,71,Brčko District of BiH,594
2013,Number,Both sexes or no breakdown by sex,72,Brčko District of BiH,698
2013,Number,Both sexes or no breakdown by sex,73,Brčko District of BiH,687
2013,Number,Both sexes or no breakdown by sex,74,Brčko District of BiH,682
2013,Number,Both sexes or no breakdown by sex,75,Brčko District of BiH,620
2013,Number,Both sexes or no breakdown by sex,76,Brčko District of BiH,634
2013,Number,Both sexes or no breakdown by sex,77,Brčko District of BiH,594
2013,Number,Both sexes or no breakdown by sex,78,Brčko District of BiH,535
2013,Number,Both sexes or no breakdown by sex,79,Brčko District of BiH,480
2013,Number,Both sexes or no breakdown by sex,80,Brčko District of BiH,365
2013,Number,Both sexes or no breakdown by sex,81,Brčko District of BiH,327
2013,Number,Both sexes or no breakdown by sex,82,Brčko District of BiH,260
2013,Number,Both sexes or no breakdown by sex,83,Brčko District of BiH,246
2013,Number,Both sexes or no breakdown by sex,84,Brčko District of BiH,202
2013,Number,Both sexes or no breakdown by sex,85+,Brčko District of BiH,606
2013,Number,Both sexes or no breakdown by sex,Unknown,Brčko District of BiH,0
2013,Number,Both sexes or no breakdown by sex,Total,Brčko District of BiH,83516
2013,Number,Male,0,Brčko District of BiH,436
2013,Number,Male,1,Brčko District of BiH,417
2013,Number,Male,2,Brčko District of BiH,450
2013,Number,Male,3,Brčko District of BiH,412
2013,Number,Male,4,Brčko District of BiH,463
2013,Number,Male,5,Brčko District of BiH,465
2013,Number,Male,6,Brčko District of BiH,471
2013,Number,Male,7,Brčko District of BiH,423
2013,Number,Male,8,Brčko District of BiH,460
2013,Number,Male,9,Brčko District of BiH,416
2013,Number,Male,10,Brčko District of BiH,477
2013,Number,Male,11,Brčko District of BiH,472
2013,Number,Male,12,Brčko District of BiH,489
2013,Number,Male,13,Brčko District of BiH,489
2013,Number,Male,14,Brčko District of BiH,484
2013,Number,Male,15,Brčko District of BiH,560
2013,Number,Male,16,Brčko District of BiH,602
2013,Number,Male,17,Brčko District of BiH,547
2013,Number,Male,18,Brčko District of BiH,523
2013,Number,Male,19,Brčko District of BiH,487
2013,Number,Male,20,Brčko District of BiH,417
2013,Number,Male,21,Brčko District of BiH,533
2013,Number,Male,22,Brčko District of BiH,546
2013,Number,Male,23,Brčko District of BiH,533
2013,Number,Male,24,Brčko District of BiH,499
2013,Number,Male,25,Brčko District of BiH,545
2013,Number,Male,26,Brčko District of BiH,577
2013,Number,Male,27,Brčko District of BiH,550
2013,Number,Male,28,Brčko District of BiH,634
2013,Number,Male,29,Brčko District of BiH,602
2013,Number,Male,30,Brčko District of BiH,626
2013,Number,Male,31,Brčko District of BiH,618
2013,Number,Male,32,Brčko District of BiH,568
2013,Number,Male,33,Brčko District of BiH,575
2013,Number,Male,34,Brčko District of BiH,527
2013,Number,Male,35,Brčko District of BiH,591
2013,Number,Male,36,Brčko District of BiH,610
2013,Number,Male,37,Brčko District of BiH,619
2013,Number,Male,38,Brčko District of BiH,625
2013,Number,Male,39,Brčko District of BiH,680
2013,Number,Male,40,Brčko District of BiH,631
2013,Number,Male,41,Brčko District of BiH,637
2013,Number,Male,42,Brčko District of BiH,572
2013,Number,Male,43,Brčko District of BiH,650
2013,Number,Male,44,Brčko District of BiH,636
2013,Number,Male,45,Brčko District of BiH,708
2013,Number,Male,46,Brčko District of BiH,692
2013,Number,Male,47,Brčko District of BiH,669
2013,Number,Male,48,Brčko District of BiH,717
2013,Number,Male,49,Brčko District of BiH,650
2013,Number,Male,50,Brčko District of BiH,681
2013,Number,Male,51,Brčko District of BiH,685
2013,Number,Male,52,Brčko District of BiH,705
2013,Number,Male,53,Brčko District of BiH,636
2013,Number,Male,54,Brčko District of BiH,618
2013,Number,Male,55,Brčko District of BiH,618
2013,Number,Male,56,Brčko District of BiH,575
2013,Number,Male,57,Brčko District of BiH,558
2013,Number,Male,58,Brčko District of BiH,566
2013,Number,Male,59,Brčko District of BiH,545
2013,Number,Male,60,Brčko District of BiH,504
2013,Number,Male,61,Brčko District of BiH,495
2013,Number,Male,62,Brčko District of BiH,484
2013,Number,Male,63,Brčko District of BiH,484
2013,Number,Male,64,Brčko District of BiH,432
2013,Number,Male,65,Brčko District of BiH,394
2013,Number,Male,66,Brčko District of BiH,405
2013,Number,Male,67,Brčko District of BiH,348
2013,Number,Male,68,Brčko District of BiH,295
2013,Number,Male,69,Brčko District of BiH,304
2013,Number,Male,70,Brčko District of BiH,327
2013,Number,Male,71,Brčko District of BiH,267
2013,Number,Male,72,Brčko District of BiH,297
2013,Number,Male,73,Brčko District of BiH,283
2013,Number,Male,74,Brčko District of BiH,285
2013,Number,Male,75,Brčko District of BiH,241
2013,Number,Male,76,Brčko District of BiH,261
2013,Number,Male,77,Brčko District of BiH,244
2013,Number,Male,78,Brčko District of BiH,215
2013,Number,Male,79,Brčko District of BiH,182
2013,Number,Male,80,Brčko District of BiH,144
2013,Number,Male,81,Brčko District of BiH,131
2013,Number,Male,82,Brčko District of BiH,82
2013,Number,Male,83,Brčko District of BiH,89
2013,Number,Male,84,Brčko District of BiH,67
2013,Number,Male,85+,Brčko District of BiH,223
2013,Number,Male,Unknown,Brčko District of BiH,0
2013,Number,Male,Total,Brčko District of BiH,41250
2013,Number,Female,0,Brčko District of BiH,403
2013,Number,Female,1,Brčko District of BiH,415
2013,Number,Female,2,Brčko District of BiH,405
2013,Number,Female,3,Brčko District of BiH,379
2013,Number,Female,4,Brčko District of BiH,385
2013,Number,Female,5,Brčko District of BiH,386
2013,Number,Female,6,Brčko District of BiH,446
2013,Number,Female,7,Brčko District of BiH,399
2013,Number,Female,8,Brčko District of BiH,405
2013,Number,Female,9,Brčko District of BiH,441
2013,Number,Female,10,Brčko District of BiH,445
2013,Number,Female,11,Brčko District of BiH,404
2013,Number,Female,12,Brčko District of BiH,455
2013,Number,Female,13,Brčko District of BiH,444
2013,Number,Female,14,Brčko District of BiH,445
2013,Number,Female,15,Brčko District of BiH,512
2013,Number,Female,16,Brčko District of BiH,567
2013,Number,Female,17,Brčko District of BiH,566
2013,Number,Female,18,Brčko District of BiH,490
2013,Number,Female,19,Brčko District of BiH,469
2013,Number,Female,20,Brčko District of BiH,409
2013,Number,Female,21,Brčko District of BiH,456
2013,Number,Female,22,Brčko District of BiH,510
2013,Number,Female,23,Brčko District of BiH,514
2013,Number,Female,24,Brčko District of BiH,519
2013,Number,Female,25,Brčko District of BiH,558
2013,Number,Female,26,Brčko District of BiH,536
2013,Number,Female,27,Brčko District of BiH,504
2013,Number,Female,28,Brčko District of BiH,601
2013,Number,Female,29,Brčko District of BiH,622
2013,Number,Female,30,Brčko District of BiH,604
2013,Number,Female,31,Brčko District of BiH,635
2013,Number,Female,32,Brčko District of BiH,586
2013,Number,Female,33,Brčko District of BiH,621
2013,Number,Female,34,Brčko District of BiH,631
2013,Number,Female,35,Brčko District of BiH,614
2013,Number,Female,36,Brčko District of BiH,566
2013,Number,Female,37,Brčko District of BiH,620
2013,Number,Female,38,Brčko District of BiH,582
2013,Number,Female,39,Brčko District of BiH,599
2013,Number,Female,40,Brčko District of BiH,625
2013,Number,Female,41,Brčko District of BiH,640
2013,Number,Female,42,Brčko District of BiH,588
2013,Number,Female,43,Brčko District of BiH,554
2013,Number,Female,44,Brčko District of BiH,612
2013,Number,Female,45,Brčko District of BiH,580
2013,Number,Female,46,Brčko District of BiH,609
2013,Number,Female,47,Brčko District of BiH,644
2013,Number,Female,48,Brčko District of BiH,687
2013,Number,Female,49,Brčko District of BiH,617
2013,Number,Female,50,Brčko District of BiH,636
2013,Number,Female,51,Brčko District of BiH,640
2013,Number,Female,52,Brčko District of BiH,657
2013,Number,Female,53,Brčko District of BiH,675
2013,Number,Female,54,Brčko District of BiH,640
2013,Number,Female,55,Brčko District of BiH,581
2013,Number,Female,56,Brčko District of BiH,535
2013,Number,Female,57,Brčko District of BiH,592
2013,Number,Female,58,Brčko District of BiH,601
2013,Number,Female,59,Brčko District of BiH,604
2013,Number,Female,60,Brčko District of BiH,596
2013,Number,Female,61,Brčko District of BiH,578
2013,Number,Female,62,Brčko District of BiH,499
2013,Number,Female,63,Brčko District of BiH,568
2013,Number,Female,64,Brčko District of BiH,508
2013,Number,Female,65,Brčko District of BiH,505
2013,Number,Female,66,Brčko District of BiH,494
2013,Number,Female,67,Brčko District of BiH,402
2013,Number,Female,68,Brčko District of BiH,360
2013,Number,Female,69,Brčko District of BiH,401
2013,Number,Female,70,Brčko District of BiH,371
2013,Number,Female,71,Brčko District of BiH,327
2013,Number,Female,72,Brčko District of BiH,401
2013,Number,Female,73,Brčko District of BiH,404
2013,Number,Female,74,Brčko District of BiH,397
2013,Number,Female,75,Brčko District of BiH,379
2013,Number,Female,76,Brčko District of BiH,373
2013,Number,Female,77,Brčko District of BiH,350
2013,Number,Female,78,Brčko District of BiH,320
2013,Number,Female,79,Brčko District of BiH,298
2013,Number,Female,80,Brčko District of BiH,221
2013,Number,Female,81,Brčko District of BiH,196
2013,Number,Female,82,Brčko District of BiH,178
2013,Number,Female,83,Brčko District of BiH,157
2013,Number,Female,84,Brčko District of BiH,135
2013,Number,Female,85+,Brčko District of BiH,383
2013,Number,Female,Unknown,Brčko District of BiH,0
2013,Number,Female,Total,Brčko District of BiH,42266
