Year,Municipality,AGE,UNIT_MEASURE,SEX,Value
2013,Trnovo - RS,Total,NUMBER,M,989
2013,Trnovo - RS,Total,NUMBER,F,1061
2013,Tuzla,Total,NUMBER,_T,110979
2013,Tuzla,Total,NUMBER,M,52745
2013,Tuzla,Total,NUMBER,F,58234
2013,Ugljevik,Total,NUMBER,_T,15710
2013,Ugljevik,Total,NUMBER,M,7937
2013,Ugljevik,Total,NUMBER,F,7773
2013,Usora,Total,NUMBER,_T,6603
2013,Usora,Total,NUMBER,M,3266
2013,Usora,Total,NUMBER,F,3337
2013,Vareš,Total,NUMBER,_T,8892
2013,Vareš,Total,NUMBER,M,4373
2013,Vareš,Total,NUMBER,F,4519
2013,Velika Kladuša,Total,NUMBER,_T,40419
2013,Velika Kladuša,Total,NUMBER,M,19889
2013,Velika Kladuša,Total,NUMBER,F,20530
2013,Visoko,Total,NUMBER,_T,39938
2013,Visoko,Total,NUMBER,M,19705
2013,Visoko,Total,NUMBER,F,20233
2013,Višegrad,Total,NUMBER,_T,10668
2013,Višegrad,Total,NUMBER,M,5106
2013,Višegrad,Total,NUMBER,F,5562
2013,Vitez,Total,NUMBER,_T,25836
2013,Vitez,Total,NUMBER,M,12767
2013,Vitez,Total,NUMBER,F,13069
2013,Vlasenica,Total,NUMBER,_T,11467
2013,Vlasenica,Total,NUMBER,M,5638
2013,Vlasenica,Total,NUMBER,F,5829
2013,Sarajevo - Vogošća,Total,NUMBER,_T,26343
2013,Sarajevo - Vogošća,Total,NUMBER,M,12606
2013,Sarajevo - Vogošća,Total,NUMBER,F,13737
2013,Vukosavlje,Total,NUMBER,_T,4667
2013,Vukosavlje,Total,NUMBER,M,2340
2013,Vukosavlje,Total,NUMBER,F,2327
2013,Zavidovići,Total,NUMBER,_T,35988
2013,Zavidovići,Total,NUMBER,M,17883
2013,Zavidovići,Total,NUMBER,F,18105
2013,Zenica,Total,NUMBER,_T,110663
2013,Zenica,Total,NUMBER,M,54660
2013,Zenica,Total,NUMBER,F,56003
2013,Zvornik,Total,NUMBER,_T,58856
2013,Zvornik,Total,NUMBER,M,29270
2013,Zvornik,Total,NUMBER,F,29586
2013,Žepče,Total,NUMBER,_T,30219
2013,Žepče,Total,NUMBER,M,15335
2013,Žepče,Total,NUMBER,F,14884
2013,Živinice,Total,NUMBER,_T,57765
2013,Živinice,Total,NUMBER,M,28714
2013,Živinice,Total,NUMBER,F,29051
2013,Banja Luka,0-4,NUMBER,_T,9610
2013,Banja Luka,0-4,NUMBER,M,4898
2013,Banja Luka,0-4,NUMBER,F,4712
2013,Banovići,0-4,NUMBER,_T,1206
2013,Banovići,0-4,NUMBER,M,614
2013,Banovići,0-4,NUMBER,F,592
2013,Berkovići,0-4,NUMBER,_T,93
2013,Berkovići,0-4,NUMBER,M,45
2013,Berkovići,0-4,NUMBER,F,48
2013,Bihać,0-4,NUMBER,_T,2652
2013,Bihać,0-4,NUMBER,M,1361
2013,Bihać,0-4,NUMBER,F,1291
2013,Bijeljina,0-4,NUMBER,_T,5080
2013,Bijeljina,0-4,NUMBER,M,2637
2013,Bijeljina,0-4,NUMBER,F,2443
2013,Bileća,0-4,NUMBER,_T,487
2013,Bileća,0-4,NUMBER,M,255
2013,Bileća,0-4,NUMBER,F,232
2013,Bosanska Krupa,0-4,NUMBER,_T,1423
2013,Bosanska Krupa,0-4,NUMBER,M,735
2013,Bosanska Krupa,0-4,NUMBER,F,688
2013,Bosanski Petrovac,0-4,NUMBER,_T,249
2013,Bosanski Petrovac,0-4,NUMBER,M,126
2013,Bosanski Petrovac,0-4,NUMBER,F,123
2013,Bosansko Grahovo,0-4,NUMBER,_T,69
2013,Bosansko Grahovo,0-4,NUMBER,M,39
2013,Bosansko Grahovo,0-4,NUMBER,F,30
2013,Bratunac,0-4,NUMBER,_T,948
2013,Bratunac,0-4,NUMBER,M,509
2013,Bratunac,0-4,NUMBER,F,439
2013,Brčko,0-4,NUMBER,_T,4165
2013,Brčko,0-4,NUMBER,M,2178
2013,Brčko,0-4,NUMBER,F,1987
2013,Breza,0-4,NUMBER,_T,698
2013,Breza,0-4,NUMBER,M,348
2013,Breza,0-4,NUMBER,F,350
2013,Brod,0-4,NUMBER,_T,771
2013,Brod,0-4,NUMBER,M,402
2013,Brod,0-4,NUMBER,F,369
2013,Bugojno,0-4,NUMBER,_T,1484
2013,Bugojno,0-4,NUMBER,M,786
2013,Bugojno,0-4,NUMBER,F,698
2013,Busovača,0-4,NUMBER,_T,961
2013,Busovača,0-4,NUMBER,M,494
2013,Busovača,0-4,NUMBER,F,467
2013,Bužim,0-4,NUMBER,_T,1405
2013,Bužim,0-4,NUMBER,M,732
2013,Bužim,0-4,NUMBER,F,673
2013,Cazin,0-4,NUMBER,_T,3940
2013,Cazin,0-4,NUMBER,M,2050
2013,Cazin,0-4,NUMBER,F,1890
2013,Sarajevo - Centar,0-4,NUMBER,_T,2588
2013,Sarajevo - Centar,0-4,NUMBER,M,1308
2013,Sarajevo - Centar,0-4,NUMBER,F,1280
2013,Čajniče,0-4,NUMBER,_T,185
2013,Čajniče,0-4,NUMBER,M,85
2013,Čajniče,0-4,NUMBER,F,100
2013,Čapljina,0-4,NUMBER,_T,1233
2013,Čapljina,0-4,NUMBER,M,628
2013,Čapljina,0-4,NUMBER,F,605
2013,Čelić,0-4,NUMBER,_T,475
2013,Čelić,0-4,NUMBER,M,229
2013,Čelić,0-4,NUMBER,F,246
2013,Čelinac,0-4,NUMBER,_T,769
2013,Čelinac,0-4,NUMBER,M,399
2013,Čelinac,0-4,NUMBER,F,370
2013,Čitluk,0-4,NUMBER,_T,1002
2013,Čitluk,0-4,NUMBER,M,480
2013,Čitluk,0-4,NUMBER,F,522
2013,Derventa,0-4,NUMBER,_T,1170
2013,Derventa,0-4,NUMBER,M,580
2013,Derventa,0-4,NUMBER,F,590
2013,Doboj,0-4,NUMBER,_T,3330
2013,Doboj,0-4,NUMBER,M,1695
2013,Doboj,0-4,NUMBER,F,1635
2013,Doboj-Istok,0-4,NUMBER,_T,541
2013,Doboj-Istok,0-4,NUMBER,M,292
2013,Doboj-Istok,0-4,NUMBER,F,249
2013,Doboj-Jug,0-4,NUMBER,_T,235
2013,Doboj-Jug,0-4,NUMBER,M,120
2013,Doboj-Jug,0-4,NUMBER,F,115
2013,Dobretići,0-4,NUMBER,_T,30
2013,Dobretići,0-4,NUMBER,M,18
2013,Dobretići,0-4,NUMBER,F,12
2013,Domaljevac-Šamac,0-4,NUMBER,_T,163
2013,Domaljevac-Šamac,0-4,NUMBER,M,89
2013,Domaljevac-Šamac,0-4,NUMBER,F,74
2013,Donji Vakuf,0-4,NUMBER,_T,680
2013,Donji Vakuf,0-4,NUMBER,M,338
2013,Donji Vakuf,0-4,NUMBER,F,342
2013,Donji Žabar,0-4,NUMBER,_T,145
2013,Donji Žabar,0-4,NUMBER,M,70
2013,Donji Žabar,0-4,NUMBER,F,75
2013,Drvar,0-4,NUMBER,_T,210
2013,Drvar,0-4,NUMBER,M,106
2013,Drvar,0-4,NUMBER,F,104
2013,Foča - FBiH,0-4,NUMBER,_T,85
