Year,UNIT_MEASURE,PYRAMID_SEX,PYRAMID_AGE,Value
2021,2065,M,90-94,-25492.98
2021,2065,M,95-99,-10789.42
2021,2065,M,100-104,-3102.79
2021,2065,M,105-109,-416.16
2021,2065,M,110-114,-20.62
2021,2065,M,115-119,0.36
2021,2065,M,120+,0.00
2021,2070,M,0-4,-25551.40
2021,2070,M,5-9,-27559.85
2021,2070,M,10-14,-30117.98
2021,2070,M,15-19,-32227.97
2021,2070,M,20-24,-31144.07
2021,2070,M,25-29,-29104.20
2021,2070,M,30-34,-28521.89
2021,2070,M,35-39,-29332.93
2021,2070,M,40-44,-31170.43
2021,2070,M,45-49,-33682.32
2021,2070,M,50-54,-36277.89
2021,2070,M,55-59,-39158.91
2021,2070,M,60-64,-43938.16
2021,2070,M,65-69,-45821.00
2021,2070,M,70-74,-53550.40
2021,2070,M,75-79,-54396.74
2021,2070,M,80-84,-53135.57
2021,2070,M,85-89,-42935.65
2021,2070,M,90-94,-26497.64
2021,2070,M,95-99,-11762.27
2021,2070,M,100-104,-3293.66
2021,2070,M,105-109,-516.42
2021,2070,M,110-114,-28.76
2021,2070,M,115-119,-0.59
2021,2070,M,120+,0.01
2021,2018,F,0-4,71887.00
2021,2018,F,5-9,83144.00
2021,2018,F,10-14,86236.00
2021,2018,F,15-19,92867.00
2021,2018,F,20-24,118251.00
2021,2018,F,25-29,109922.00
2021,2018,F,30-34,122620.00
2021,2018,F,35-39,124160.00
2021,2018,F,40-44,122646.00
2021,2018,F,45-49,118759.00
2021,2018,F,50-54,128806.00
2021,2018,F,55-59,136494.00
2021,2018,F,60-64,129979.00
2021,2018,F,65-69,112423.00
2021,2018,F,70-74,78187.00
2021,2018,F,75-79,65488.00
2021,2018,F,80-84,48905.00
2021,2018,F,85-89,20820.00
2021,2018,F,90-94,5224.00
2021,2018,F,95-99,804.00
2021,2018,F,100-104,140.00
2021,2018,F,105-109,8.00
2021,2018,F,110-114,0.00
2021,2018,F,115-119,0.00
2021,2018,F,120+,0.00
2021,2020,F,0-4,70677.51
2021,2020,F,5-9,76727.98
2021,2020,F,10-14,86367.09
2021,2020,F,15-19,86940.49
2021,2020,F,20-24,105111.80
2021,2020,F,25-29,105737.54
2021,2020,F,30-34,116789.53
2021,2020,F,35-39,122836.31
2021,2020,F,40-44,121872.65
2021,2020,F,45-49,119959.18
2021,2020,F,50-54,121474.77
