Year,SEX,UNIT_MEASURE,AGE,Value
2045,_T,_%,60-64,8.19
2045,_T,_%,65-69,8.22
2045,_T,_%,70-74,7.76
2045,_T,_%,75-79,6.9
2045,_T,_%,80-84,5.92
2045,_T,_%,85-89,3.84
2045,_T,_%,90-94,1.79
2045,_T,_%,95-99,0.5
2045,_T,_%,100-104,0.07
2045,_T,_%,105-109,0.01
2045,_T,_%,110-114,0
2045,_T,_%,115-119,0
2045,_T,_%,120+,0
2050,_T,_%,0-4,3.26
2050,_T,_%,5-9,3.5
2050,_T,_%,10-14,3.8
2050,_T,_%,15-19,4.12
2050,_T,_%,20-24,4.19
2050,_T,_%,25-29,4.16
2050,_T,_%,30-34,4.19
2050,_T,_%,35-39,4.36
2050,_T,_%,40-44,4.75
2050,_T,_%,45-49,4.85
2050,_T,_%,50-54,6.09
2050,_T,_%,55-59,6.81
2050,_T,_%,60-64,7.96
2050,_T,_%,65-69,8.56
2050,_T,_%,70-74,8.29
2050,_T,_%,75-79,7.39
2050,_T,_%,80-84,6.01
2050,_T,_%,85-89,4.46
2050,_T,_%,90-94,2.32
2050,_T,_%,95-99,0.77
2050,_T,_%,100-104,0.14
2050,_T,_%,105-109,0.01
2050,_T,_%,110-114,0
2050,_T,_%,115-119,0
2050,_T,_%,120+,0
2055,_T,_%,0-4,3.22
2055,_T,_%,5-9,3.47
2055,_T,_%,10-14,3.77
2055,_T,_%,15-19,4.02
2055,_T,_%,20-24,4.02
2055,_T,_%,25-29,3.99
2055,_T,_%,30-34,4.15
2055,_T,_%,35-39,4.32
2055,_T,_%,40-44,4.56
2055,_T,_%,45-49,5.02
2055,_T,_%,50-54,5.19
2055,_T,_%,55-59,6.53
2055,_T,_%,60-64,7.3
2055,_T,_%,65-69,8.39
2055,_T,_%,70-74,8.72
2055,_T,_%,75-79,8.01
2055,_T,_%,80-84,6.57
2055,_T,_%,85-89,4.65
2055,_T,_%,90-94,2.8
2055,_T,_%,95-99,1.05
2055,_T,_%,100-104,0.23
2055,_T,_%,105-109,0.02
2055,_T,_%,110-114,0
2055,_T,_%,115-119,0
2055,_T,_%,120+,0
2060,_T,_%,0-4,3.18
2060,_T,_%,5-9,3.45
2060,_T,_%,10-14,3.75
2060,_T,_%,15-19,4.01
2060,_T,_%,20-24,3.94
2060,_T,_%,25-29,3.85
2060,_T,_%,30-34,4.01
2060,_T,_%,35-39,4.29
2060,_T,_%,40-44,4.53
2060,_T,_%,45-49,4.84
2060,_T,_%,50-54,5.38
2060,_T,_%,55-59,5.62
2060,_T,_%,60-64,7.05
2060,_T,_%,65-69,7.77
2060,_T,_%,70-74,8.63
2060,_T,_%,75-79,8.53
2060,_T,_%,80-84,7.24
2060,_T,_%,85-89,5.23
2060,_T,_%,90-94,3.01
2060,_T,_%,95-99,1.33
2060,_T,_%,100-104,0.32
2060,_T,_%,105-109,0.04
2060,_T,_%,110-114,0
2060,_T,_%,115-119,0
2060,_T,_%,120+,0
2065,_T,_%,0-4,3.14
2065,_T,_%,5-9,3.42
2065,_T,_%,10-14,3.74
2065,_T,_%,15-19,4.01
2065,_T,_%,20-24,3.94
2065,_T,_%,25-29,3.8
2065,_T,_%,30-34,3.89
2065,_T,_%,35-39,4.16
2065,_T,_%,40-44,4.52
2065,_T,_%,45-49,4.83
2065,_T,_%,50-54,5.22
2065,_T,_%,55-59,5.85
2065,_T,_%,60-64,6.12
2065,_T,_%,65-69,7.55
2065,_T,_%,70-74,8.07
