Year,UNIT_MEASURE,Sex,Age,Administrative area,Value
2013,Number,M,82,Republika Srpska,1859
2013,Number,M,83,Republika Srpska,1713
2013,Number,M,84,Republika Srpska,1335
2013,Number,M,85+,Republika Srpska,3927
2013,Number,M,Unknown,Republika Srpska,0
2013,Number,M,Total,Republika Srpska,603027
2013,Number,F,0,Republika Srpska,5099
2013,Number,F,1,Republika Srpska,5337
2013,Number,F,2,Republika Srpska,5226
2013,Number,F,3,Republika Srpska,5607
2013,Number,F,4,Republika Srpska,5540
2013,Number,F,5,Republika Srpska,5534
2013,Number,F,6,Republika Srpska,5482
2013,Number,F,7,Republika Srpska,5489
2013,Number,F,8,Republika Srpska,5536
2013,Number,F,9,Republika Srpska,5562
2013,Number,F,10,Republika Srpska,5638
2013,Number,F,11,Republika Srpska,5763
2013,Number,F,12,Republika Srpska,6147
2013,Number,F,13,Republika Srpska,6233
2013,Number,F,14,Republika Srpska,6488
2013,Number,F,15,Republika Srpska,6722
2013,Number,F,16,Republika Srpska,7656
2013,Number,F,17,Republika Srpska,7383
2013,Number,F,18,Republika Srpska,7510
2013,Number,F,19,Republika Srpska,7384
2013,Number,F,20,Republika Srpska,6098
2013,Number,F,21,Republika Srpska,6676
2013,Number,F,22,Republika Srpska,7314
2013,Number,F,23,Republika Srpska,7287
2013,Number,F,24,Republika Srpska,7591
2013,Number,F,25,Republika Srpska,7844
2013,Number,F,26,Republika Srpska,7792
2013,Number,F,27,Republika Srpska,8060
2013,Number,F,28,Republika Srpska,7978
2013,Number,F,29,Republika Srpska,8491
2013,Number,F,30,Republika Srpska,8326
2013,Number,F,31,Republika Srpska,8485
2013,Number,F,32,Republika Srpska,8359
2013,Number,F,33,Republika Srpska,8417
2013,Number,F,34,Republika Srpska,8320
2013,Number,F,35,Republika Srpska,8237
2013,Number,F,36,Republika Srpska,8384
2013,Number,F,37,Republika Srpska,8593
2013,Number,F,38,Republika Srpska,8220
2013,Number,F,39,Republika Srpska,7930
2013,Number,F,40,Republika Srpska,7893
2013,Number,F,41,Republika Srpska,8040
2013,Number,F,42,Republika Srpska,7718
2013,Number,F,43,Republika Srpska,7419
2013,Number,F,44,Republika Srpska,7746
2013,Number,F,45,Republika Srpska,8069
2013,Number,F,46,Republika Srpska,8528
2013,Number,F,47,Republika Srpska,8680
2013,Number,F,48,Republika Srpska,9018
2013,Number,F,49,Republika Srpska,8894
2013,Number,F,50,Republika Srpska,9134
2013,Number,F,51,Republika Srpska,9705
2013,Number,F,52,Republika Srpska,9645
2013,Number,F,53,Republika Srpska,9699
2013,Number,F,54,Republika Srpska,10298
2013,Number,F,55,Republika Srpska,9649
2013,Number,F,56,Republika Srpska,9400
2013,Number,F,57,Republika Srpska,10000
2013,Number,F,58,Republika Srpska,10315
2013,Number,F,59,Republika Srpska,10163
2013,Number,F,60,Republika Srpska,10402
2013,Number,F,61,Republika Srpska,9843
2013,Number,F,62,Republika Srpska,8812
2013,Number,F,63,Republika Srpska,8961
2013,Number,F,64,Republika Srpska,8800
2013,Number,F,65,Republika Srpska,7797
2013,Number,F,66,Republika Srpska,8202
2013,Number,F,67,Republika Srpska,6508
2013,Number,F,68,Republika Srpska,5441
2013,Number,F,69,Republika Srpska,5440
2013,Number,F,70,Republika Srpska,5654
2013,Number,F,71,Republika Srpska,5822
2013,Number,F,72,Republika Srpska,6755
2013,Number,F,73,Republika Srpska,7148
2013,Number,F,74,Republika Srpska,6744
2013,Number,F,75,Republika Srpska,6617
2013,Number,F,76,Republika Srpska,6219
2013,Number,F,77,Republika Srpska,6079
2013,Number,F,78,Republika Srpska,5329
2013,Number,F,79,Republika Srpska,4982
2013,Number,F,80,Republika Srpska,4181
2013,Number,F,81,Republika Srpska,3767
2013,Number,F,82,Republika Srpska,3096
2013,Number,F,83,Republika Srpska,2945
2013,Number,F,84,Republika Srpska,2257
2013,Number,F,85+,Republika Srpska,7844
2013,Number,F,Unknown,Republika Srpska,0
2013,Number,F,Total,Republika Srpska,625396
2013,Number,Both sexes,0,Brčko District of BiH,839
2013,Number,Both sexes,1,Brčko District of BiH,832
2013,Number,Both sexes,2,Brčko District of BiH,855
2013,Number,Both sexes,3,Brčko District of BiH,791
2013,Number,Both sexes,4,Brčko District of BiH,848
2013,Number,Both sexes,5,Brčko District of BiH,851
2013,Number,Both sexes,6,Brčko District of BiH,917
2013,Number,Both sexes,7,Brčko District of BiH,822
2013,Number,Both sexes,8,Brčko District of BiH,865
2013,Number,Both sexes,9,Brčko District of BiH,857
2013,Number,Both sexes,10,Brčko District of BiH,922
2013,Number,Both sexes,11,Brčko District of BiH,876
2013,Number,Both sexes,12,Brčko District of BiH,944
2013,Number,Both sexes,13,Brčko District of BiH,933
2013,Number,Both sexes,14,Brčko District of BiH,929
2013,Number,Both sexes,15,Brčko District of BiH,1072
2013,Number,Both sexes,16,Brčko District of BiH,1169
2013,Number,Both sexes,17,Brčko District of BiH,1113
2013,Number,Both sexes,18,Brčko District of BiH,1013
2013,Number,Both sexes,19,Brčko District of BiH,956
2013,Number,Both sexes,20,Brčko District of BiH,826
2013,Number,Both sexes,21,Brčko District of BiH,989
2013,Number,Both sexes,22,Brčko District of BiH,1056
2013,Number,Both sexes,23,Brčko District of BiH,1047
2013,Number,Both sexes,24,Brčko District of BiH,1018
2013,Number,Both sexes,25,Brčko District of BiH,1103
2013,Number,Both sexes,26,Brčko District of BiH,1113
2013,Number,Both sexes,27,Brčko District of BiH,1054
2013,Number,Both sexes,28,Brčko District of BiH,1235
2013,Number,Both sexes,29,Brčko District of BiH,1224
2013,Number,Both sexes,30,Brčko District of BiH,1230
2013,Number,Both sexes,31,Brčko District of BiH,1253
2013,Number,Both sexes,32,Brčko District of BiH,1154
2013,Number,Both sexes,33,Brčko District of BiH,1196
2013,Number,Both sexes,34,Brčko District of BiH,1158
2013,Number,Both sexes,35,Brčko District of BiH,1205
