Year,UNIT_MEASURE,SEX,AGE,Municipality,Value
2013,NUMBER,_T,Total,Srebrenica,13409
2013,NUMBER,M,Total,Srebrenica,6602
2013,NUMBER,F,Total,Srebrenica,6807
2013,NUMBER,_T,Total,Srebrenik,39678
2013,NUMBER,M,Total,Srebrenik,19348
2013,NUMBER,F,Total,Srebrenik,20330
2013,NUMBER,_T,Total,Sarajevo - Stari Grad,36976
2013,NUMBER,M,Total,Sarajevo - Stari Grad,17482
2013,NUMBER,F,Total,Sarajevo - Stari Grad,19494
2013,NUMBER,_T,Total,Stolac,14502
2013,NUMBER,M,Total,Stolac,7326
2013,NUMBER,F,Total,Stolac,7176
2013,NUMBER,_T,Total,Šamac,17273
2013,NUMBER,M,Total,Šamac,8385
2013,NUMBER,F,Total,Šamac,8888
2013,NUMBER,_T,Total,Šekovići,6761
2013,NUMBER,M,Total,Šekovići,3360
2013,NUMBER,F,Total,Šekovići,3401
2013,NUMBER,_T,Total,Šipovo,10293
2013,NUMBER,M,Total,Šipovo,5221
2013,NUMBER,F,Total,Šipovo,5072
2013,NUMBER,_T,Total,Široki Brijeg,28929
2013,NUMBER,M,Total,Široki Brijeg,14381
2013,NUMBER,F,Total,Široki Brijeg,14548
2013,NUMBER,_T,Total,Teočak,7424
2013,NUMBER,M,Total,Teočak,3767
2013,NUMBER,F,Total,Teočak,3657
2013,NUMBER,_T,Total,Teslić,38536
2013,NUMBER,M,Total,Teslić,18679
2013,NUMBER,F,Total,Teslić,19857
2013,NUMBER,_T,Total,Tešanj,43063
2013,NUMBER,M,Total,Tešanj,21376
2013,NUMBER,F,Total,Tešanj,21687
2013,NUMBER,_T,Total,Tomislavgrad,31592
2013,NUMBER,M,Total,Tomislavgrad,16055
2013,NUMBER,F,Total,Tomislavgrad,15537
2013,NUMBER,_T,Total,Travnik,53482
2013,NUMBER,M,Total,Travnik,26574
2013,NUMBER,F,Total,Travnik,26908
2013,NUMBER,_T,Total,Trebinje,29198
2013,NUMBER,M,Total,Trebinje,14251
2013,NUMBER,F,Total,Trebinje,14947
2013,NUMBER,_T,Total,Trnovo - FBiH,1502
2013,NUMBER,M,Total,Trnovo - FBiH,735
2013,NUMBER,F,Total,Trnovo - FBiH,767
2013,NUMBER,_T,Total,Trnovo - RS,2050
2013,NUMBER,M,Total,Trnovo - RS,989
2013,NUMBER,F,Total,Trnovo - RS,1061
2013,NUMBER,_T,Total,Tuzla,110979
2013,NUMBER,M,Total,Tuzla,52745
2013,NUMBER,F,Total,Tuzla,58234
2013,NUMBER,_T,Total,Ugljevik,15710
