Year,UNIT_MEASURE,Spol,Godine,Entitet,Value
2013,Broj,Žene,55-59,Brčko Distrikt BiH,2913
2013,Broj,Žene,60-64,Brčko Distrikt BiH,2749
2013,Broj,Žene,65-69,Brčko Distrikt BiH,2162
2013,Broj,Žene,70-74,Brčko Distrikt BiH,1900
2013,Broj,Žene,75-79,Brčko Distrikt BiH,1720
2013,Broj,Žene,80-84,Brčko Distrikt BiH,887
2013,Broj,Žene,85+,Brčko Distrikt BiH,383
2013,Broj,Žene,Unknown,Brčko Distrikt BiH,0
2013,Broj,Žene,Total,Brčko Distrikt BiH,42266
2013,Broj,Žene,0-14,Brčko Distrikt BiH,6257
2013,Broj,Žene,15-29,Brčko Distrikt BiH,7833
2013,Broj,Žene,15-49,Brčko Distrikt BiH,20047
2013,Broj,Žene,15-64,Brčko Distrikt BiH,28957
2013,Broj,Žene,65+,Brčko Distrikt BiH,7052
2013,Broj,Žene,75+,Brčko Distrikt BiH,2990
