Year,UNIT_MEASURE,Municipality,Spol,Godine,Value
2013,Broj,Teočak,Muškarci,Total,3767
2013,Broj,Teočak,Žene,Total,3657
2013,Broj,Teslić,Oba spola,Total,38536
2013,Broj,Teslić,Muškarci,Total,18679
2013,Broj,Teslić,Žene,Total,19857
2013,Broj,Tešanj,Oba spola,Total,43063
2013,Broj,Tešanj,Muškarci,Total,21376
2013,Broj,Tešanj,Žene,Total,21687
2013,Broj,Tomislavgrad,Oba spola,Total,31592
2013,Broj,Tomislavgrad,Muškarci,Total,16055
2013,Broj,Tomislavgrad,Žene,Total,15537
2013,Broj,Travnik,Oba spola,Total,53482
2013,Broj,Travnik,Muškarci,Total,26574
2013,Broj,Travnik,Žene,Total,26908
2013,Broj,Trebinje,Oba spola,Total,29198
2013,Broj,Trebinje,Muškarci,Total,14251
2013,Broj,Trebinje,Žene,Total,14947
2013,Broj,Trnovo - FBiH,Oba spola,Total,1502
2013,Broj,Trnovo - FBiH,Muškarci,Total,735
2013,Broj,Trnovo - FBiH,Žene,Total,767
2013,Broj,Trnovo - RS,Oba spola,Total,2050
2013,Broj,Trnovo - RS,Muškarci,Total,989
2013,Broj,Trnovo - RS,Žene,Total,1061
2013,Broj,Tuzla,Oba spola,Total,110979
2013,Broj,Tuzla,Muškarci,Total,52745
2013,Broj,Tuzla,Žene,Total,58234
2013,Broj,Ugljevik,Oba spola,Total,15710
2013,Broj,Ugljevik,Muškarci,Total,7937
2013,Broj,Ugljevik,Žene,Total,7773
2013,Broj,Usora,Oba spola,Total,6603
2013,Broj,Usora,Muškarci,Total,3266
2013,Broj,Usora,Žene,Total,3337
2013,Broj,Vareš,Oba spola,Total,8892
2013,Broj,Vareš,Muškarci,Total,4373
2013,Broj,Vareš,Žene,Total,4519
2013,Broj,Velika Kladuša,Oba spola,Total,40419
2013,Broj,Velika Kladuša,Muškarci,Total,19889
2013,Broj,Velika Kladuša,Žene,Total,20530
2013,Broj,Visoko,Oba spola,Total,39938
2013,Broj,Visoko,Muškarci,Total,19705
2013,Broj,Visoko,Žene,Total,20233
2013,Broj,Višegrad,Oba spola,Total,10668
2013,Broj,Višegrad,Muškarci,Total,5106
2013,Broj,Višegrad,Žene,Total,5562
2013,Broj,Vitez,Oba spola,Total,25836
